,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Capital Surplus,2993946000.0,2954779000.0,2976197000.0,2929399000.0
Total Liab,2738748000.0,2830621000.0,2304753000.0,2242548000.0
Total Stockholder Equity,2307298000.0,2123538000.0,2217843000.0,2190926000.0
Minority Interest,134545000.0,155226000.0,123536000.0,161425000.0
Deferred Long Term Liab,213029000.0,231347000.0,195273000.0,200679000.0
Other Current Liab,4958000.0,,,
Total Assets,5209417000.0,5138244000.0,4675009000.0,4623791000.0
Common Stock,1039000.0,1038000.0,1036000.0,1033000.0
Other Current Assets,124467000.0,26027000.0,34071000.0,126465000.0
Other Liab,23525000.0,34302000.0,27497000.0,34121000.0
Treasury Stock,-687687000.0,-832279000.0,-759390000.0,-739506000.0
Other Assets,345844000.0,391007000.0,329120000.0,281869000.0
Cash,109322000.0,9505000.0,3769000.0,3272000.0
Total Current Liabilities,212092000.0,252455000.0,187844000.0,194094000.0
Other Stockholder Equity,-687687000.0,-832279000.0,-759390000.0,-739506000.0
Property Plant Equipment,4319511000.0,4427385000.0,4037278000.0,3962474000.0
Total Current Assets,516958000.0,293554000.0,285026000.0,355551000.0
Long Term Investments,27104000.0,26298000.0,23585000.0,23897000.0
Net Tangible Assets,2307298000.0,2123538000.0,2217843000.0,2190926000.0
Net Receivables,283169000.0,258022000.0,246040000.0,224528000.0
Long Term Debt,2470867000.0,2543864000.0,2089412000.0,2014333000.0
Accounts Payable,205007000.0,252455000.0,187844000.0,194094000.0
