,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,35225000.0,28545000.0,17665000.0,15072000.0
Capital Surplus,1241167000.0,1048380000.0,589708000.0,496461000.0
Total Liab,1210711000.0,919310000.0,589312000.0,501815000.0
Total Stockholder Equity,762655000.0,649958000.0,244641000.0,210360000.0
Deferred Long Term Liab,28296000.0,19110000.0,18114000.0,
Other Current Liab,314566000.0,232430000.0,184905000.0,137880000.0
Total Assets,1973366000.0,1569268000.0,833953000.0,712175000.0
Common Stock,46000.0,44000.0,40000.0,38000.0
Other Current Assets,44576000.0,32078000.0,28839000.0,18100000.0
Retained Earnings,-483161000.0,-398130000.0,-344384000.0,-286082000.0
Other Liab,14447000.0,12041000.0,33508000.0,25072000.0
Good Will,31318000.0,30250000.0,14950000.0,14950000.0
Treasury Stock,4603000.0,-336000.0,-723000.0,-57000.0
Other Assets,35489000.0,28934000.0,21002000.0,1464000.0
Cash,378123000.0,269670000.0,111489000.0,87680000.0
Total Current Liabilities,445501000.0,322489000.0,237009000.0,178296000.0
Short Long Term Debt,7837000.0,,,
Other Stockholder Equity,4603000.0,-336000.0,-723000.0,-57000.0
Property Plant Equipment,377016000.0,318039000.0,52468000.0,43294000.0
Total Current Assets,1456921000.0,1109724000.0,712418000.0,602501000.0
Long Term Investments,37397000.0,53776000.0,15450000.0,34894000.0
Net Tangible Assets,696112000.0,591163000.0,212026000.0,180338000.0
Short Term Investments,873073000.0,691834000.0,480761000.0,416663000.0
Net Receivables,126433000.0,92517000.0,77100000.0,60676000.0
Long Term Debt,471099000.0,340564000.0,318782000.0,298447000.0
Accounts Payable,13540000.0,12842000.0,7810000.0,4657000.0
