,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-134100000.0,12500000.0,23300000.0,-2100000.0
Total Cashflows From Investing Activities,-50600000.0,-367300000.0,-187500000.0,-354100000.0
Net Borrowings,-135100000.0,101200000.0,147800000.0,116100000.0
Total Cash From Financing Activities,-178500000.0,-91400000.0,-257300000.0,-58300000.0
Change To Operating Activities,-3400000.0,-5100000.0,-4900000.0,1000000.0
Net Income,31700000.0,306600000.0,276600000.0,284000000.0
Change In Cash,38900000.0,31700000.0,-27400000.0,24900000.0
Repurchase Of Stock,-24600000.0,-143000000.0,-357700000.0,-150300000.0
Effect Of Exchange Rate,3700000.0,-700000.0,-4000000.0,8600000.0
Total Cash From Operating Activities,264300000.0,491100000.0,421400000.0,428700000.0
Depreciation,140900000.0,141700000.0,123100000.0,104500000.0
Dividends Paid,-14200000.0,-54200000.0,-48400000.0,-42600000.0
Change To Inventory,129400000.0,-30400000.0,-25200000.0,2300000.0
Change To Account Receivables,110000000.0,36500000.0,-20700000.0,20200000.0
Other Cashflows From Financing Activities,-4600000.0,-2500000.0,-2500000.0,6300000.0
Change To Netincome,-11400000.0,28400000.0,47600000.0,18100000.0
Capital Expenditures,-50600000.0,-204100000.0,-184100000.0,-278100000.0
Issuance Of Stock,,7100000.0,1000000.0,12200000.0
