,2020-07-31,2019-07-31,2018-07-31,2017-07-31
Investments,25000000.0,-365000000.0,7000000.0,190000000.0
Change To Liabilities,71000000.0,129000000.0,18000000.0,64000000.0
Total Cashflows From Investing Activities,-97000000.0,-635000000.0,-532000000.0,-17000000.0
Net Borrowings,2933000000.0,-2000000.0,-50000000.0,-512000000.0
Total Cash From Financing Activities,2034000000.0,-965000000.0,-639000000.0,-1632000000.0
Change To Operating Activities,67000000.0,-12000000.0,46000000.0,-3000000.0
Issuance Of Stock,211000000.0,284000000.0,295000000.0,226000000.0
Net Income,1826000000.0,1557000000.0,1329000000.0,985000000.0
Change In Cash,4345000000.0,721000000.0,930000000.0,-41000000.0
Repurchase Of Stock,-567000000.0,-807000000.0,-471000000.0,-992000000.0
Effect Of Exchange Rate,-6000000.0,-3000000.0,-11000000.0,9000000.0
Total Cash From Operating Activities,2414000000.0,2324000000.0,2112000000.0,1599000000.0
Depreciation,196000000.0,205000000.0,238000000.0,224000000.0
Other Cashflows From Investing Activities,-29000000.0,-2000000.0,3000000.0,23000000.0
Dividends Paid,-561000000.0,-501000000.0,-407000000.0,-353000000.0
Change To Account Receivables,-59000000.0,11000000.0,5000000.0,5000000.0
Other Cashflows From Financing Activities,18000000.0,61000000.0,-6000000.0,-1000000.0
Change To Netincome,238000000.0,409000000.0,462000000.0,356000000.0
Capital Expenditures,-59000000.0,-76000000.0,-38000000.0,-102000000.0
