Unnamed: 0,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Capital Surplus,1552968000.0,1486662000.0,1473472000.0,1461207000.0
Total Liab,103142000.0,111960000.0,70453000.0,59258000.0
Total Stockholder Equity,647428000.0,656494000.0,711837000.0,758305000.0
Total Assets,750573000.0,768458000.0,782294000.0,817567000.0
Common Stock,6000.0,6000.0,6000.0,6000.0
Retained Earnings,-905642000.0,-830193000.0,-761796000.0,-703225000.0
Treasury Stock,96000.0,19000.0,155000.0,317000.0
Other Assets,7247000.0,18443000.0,8910000.0,8707000.0
Cash,131954000.0,67329000.0,68310000.0,160614000.0
Total Current Liabilities,55059000.0,54871000.0,64390000.0,54905000.0
Other Stockholder Equity,96000.0,19000.0,155000.0,317000.0
Property Plant Equipment,127881000.0,113915000.0,49794000.0,26206000.0
Total Current Assets,605218000.0,636100000.0,723590000.0,782654000.0
Long Term Investments,10227000.0,,,
Net Tangible Assets,647428000.0,656494000.0,711837000.0,758305000.0
Short Term Investments,461976000.0,562108000.0,645838000.0,611265000.0
Long Term Debt,1000000.0,,,
Accounts Payable,13369000.0,13513000.0,24794000.0,10238000.0
Other Liab,,11714000.0,2352000.0,2352000.0
Investments,87916000.0,82088000.0,-35111000.0,-418781000.0
Change To Liabilities,-15000.0,-12132000.0,16264000.0,672000.0
Total Cashflows From Investing Activities,77211000.0,58753000.0,-52955000.0,-423756000.0
Net Borrowings,1000000.0,1000000.0,1000000.0,1000000.0
Total Cash From Financing Activities,50364000.0,2958000.0,1166000.0,568465000.0
Change To Operating Activities,-8591000.0,3205000.0,-11268000.0,13423000.0
Issuance Of Stock,49364000.0,2959000.0,1166000.0,568630000.0
Net Income,-75449000.0,-68397000.0,-58571000.0,-63018000.0
Change In Cash,65184000.0,-981000.0,-92304000.0,108074000.0
Total Cash From Operating Activities,-62391000.0,-62692000.0,-40515000.0,-36635000.0
Depreciation,372000.0,321000.0,307000.0,260000.0
Change To Netincome,21292000.0,14311000.0,12753000.0,12028000.0
Capital Expenditures,-10705000.0,-23335000.0,-17844000.0,-4975000.0
Repurchase Of Stock,,-1000.0,-1000.0,-165000.0
