,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,933600000.0,1014300000.0,1094700000.0,140700000.0
Capital Surplus,1099300000.0,977300000.0,895900000.0,955200000.0
Total Liab,15005700000.0,14761600000.0,13019600000.0,10206300000.0
Total Stockholder Equity,2895000000.0,2775900000.0,2393200000.0,2211500000.0
Minority Interest,142000000.0,214400000.0,207500000.0,286900000.0
Other Current Liab,827400000.0,741100000.0,610800000.0,535500000.0
Total Assets,18042700000.0,17751900000.0,15620300000.0,12704700000.0
Common Stock,39000000.0,38700000.0,38300000.0,38600000.0
Other Current Assets,391500000.0,435200000.0,482300000.0,352200000.0
Retained Earnings,2636900000.0,2689900000.0,2400100000.0,2104500000.0
Other Liab,1068400000.0,1139700000.0,1235500000.0,1245400000.0
Good Will,4945500000.0,4894400000.0,4875900000.0,3820400000.0
Treasury Stock,-880200000.0,-930000000.0,-941100000.0,-886800000.0
Other Assets,726400000.0,720000000.0,675900000.0,617700000.0
Cash,2509000000.0,1192200000.0,673400000.0,790900000.0
Total Current Liabilities,9580500000.0,9420400000.0,8123900000.0,7675300000.0
Deferred Long Term Asset Charges,302000000.0,252100000.0,247000000.0,234000000.0
Short Long Term Debt,502500000.0,502000000.0,100000.0,2000000.0
Other Stockholder Equity,-880200000.0,-930000000.0,-941100000.0,-827800000.0
Property Plant Equipment,2069600000.0,2352500000.0,790900000.0,650400000.0
Total Current Assets,9367600000.0,8770700000.0,8182900000.0,7475500000.0
Net Tangible Assets,-2984100000.0,-3132800000.0,-3577400000.0,-1749600000.0
Net Receivables,6467100000.0,7143300000.0,7027200000.0,6332400000.0
Long Term Debt,2915800000.0,2771900000.0,3660200000.0,1285600000.0
Accounts Payable,7269700000.0,7205400000.0,6698100000.0,6420200000.0
