,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,35000000.0,592500000.0,473600000.0,324400000.0
Total Cashflows From Investing Activities,-216200000.0,-161700000.0,-2491500000.0,-196200000.0
Net Borrowings,144000000.0,-423100000.0,2371900000.0,-321600000.0
Total Cash From Financing Activities,-346200000.0,-843000000.0,1853200000.0,-1004900000.0
Change To Operating Activities,49400000.0,-37000000.0,-108200000.0,-166800000.0
Issuance Of Stock,6500000.0,4300000.0,15500000.0,13100000.0
Net Income,351100000.0,656000000.0,618900000.0,554400000.0
Change In Cash,1315800000.0,518500000.0,-120500000.0,-302500000.0
Repurchase Of Stock,-22300000.0,-22400000.0,-146300000.0,-338900000.0
Effect Of Exchange Rate,31000000.0,-6000000.0,-47300000.0,16800000.0
Total Cash From Operating Activities,1847200000.0,1529200000.0,565100000.0,881800000.0
Depreciation,290600000.0,278500000.0,202900000.0,157100000.0
Other Cashflows From Investing Activities,-43800000.0,37400000.0,-4600000.0,-9700000.0
Dividends Paid,-398100000.0,-363100000.0,-322100000.0,-280300000.0
Change To Account Receivables,673900000.0,-149900000.0,-813300000.0,-127900000.0
Other Cashflows From Financing Activities,-76300000.0,-38700000.0,-65800000.0,-77200000.0
Change To Netincome,435800000.0,179800000.0,184700000.0,134800000.0
Capital Expenditures,-167500000.0,-198500000.0,-177100000.0,-155900000.0
