,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,2195051000.0,2440977000.0,2731334000.0,2979127000.0
1,Capital Surplus,2633670000.0,2266026000.0,2113630000.0,1935486000.0
2,Total Liab,2876156000.0,2427916000.0,2446069000.0,2410575000.0
3,Total Stockholder Equity,3659745000.0,3110981000.0,2757422000.0,2713097000.0
4,Deferred Long Term Liab,5238000.0,7426000.0,9589000.0,7673000.0
5,Other Current Liab,48023000.0,22344000.0,69800000.0,38863000.0
6,Total Assets,6535901000.0,5538897000.0,5203491000.0,5123672000.0
7,Common Stock,6000.0,6000.0,6000.0,6000.0
8,Other Current Assets,152491000.0,78895000.0,65643000.0,76686000.0
9,Retained Earnings,1159894000.0,1067815000.0,841050000.0,917956000.0
10,Other Liab,233860000.0,337670000.0,537557000.0,576195000.0
11,Good Will,958303000.0,920018000.0,927630000.0,947537000.0
12,Treasury Stock,-133825000.0,-222866000.0,-197264000.0,-140351000.0
13,Other Assets,281375000.0,272243000.0,103523000.0,56513000.0
14,Cash,1057769000.0,637344000.0,309622000.0,386035000.0
15,Total Current Liabilities,653745000.0,364490000.0,345487000.0,293947000.0
16,Deferred Long Term Asset Charges,254916000.0,221403000.0,57879000.0,34559000.0
17,Short Long Term Debt,249157000.0,34242000.0,33387000.0,40997000.0
18,Other Stockholder Equity,-133825000.0,-222866000.0,-197264000.0,-140351000.0
19,Property Plant Equipment,257104000.0,270891000.0,200358000.0,170080000.0
20,Total Current Assets,2839568000.0,1630268000.0,1234005000.0,968277000.0
21,Long Term Investments,4500000.0,4500000.0,6641000.0,2138000.0
22,Net Tangible Assets,506391000.0,-250014000.0,-901542000.0,-1213567000.0
23,Short Term Investments,1075000000.0,440000000.0,515000000.0,215000000.0
24,Net Receivables,396490000.0,355987000.0,263838000.0,224129000.0
25,Long Term Debt,1848516000.0,1574530000.0,1563025000.0,1540433000.0
26,Inventory,95396000.0,78608000.0,52956000.0,43245000.0
27,Accounts Payable,26945000.0,45732000.0,40602000.0,24368000.0
0,Investments,-642675000.0,67900000.0,-310915000.0,-155000000.0
1,Change To Liabilities,-23655000.0,-644000.0,9543000.0,21223000.0
2,Total Cashflows From Investing Activities,-1007670000.0,-155300000.0,-394487000.0,-268950000.0
3,Net Borrowings,591806000.0,-33387000.0,-25717000.0,-326701000.0
4,Total Cash From Financing Activities,528073000.0,-293745000.0,-479130000.0,-409111000.0
5,Change To Operating Activities,-5636000.0,-38469000.0,89919000.0,-14399000.0
6,Issuance Of Stock,99681000.0,57831000.0,93337000.0,31824000.0
7,Net Income,238616000.0,523367000.0,447098000.0,487848000.0
8,Change In Cash,420425000.0,327722000.0,-76413000.0,20072000.0
9,Repurchase Of Stock,-163414000.0,-318189000.0,-541597000.0,-117388000.0
10,Effect Of Exchange Rate,374000.0,366000.0,-1700000.0,5046000.0
11,Total Cash From Operating Activities,899648000.0,776401000.0,798904000.0,693087000.0
12,Depreciation,278253000.0,370156000.0,216731000.0,165154000.0
13,Change To Inventory,-30537000.0,-32790000.0,-18512000.0,-8667000.0
14,Change To Account Receivables,-38647000.0,-92326000.0,-40132000.0,12278000.0
15,Change To Netincome,411557000.0,-9345000.0,70032000.0,-16707000.0
16,Capital Expenditures,-15004000.0,-40135000.0,-20370000.0,-28950000.0
17,Other Cashflows From Financing Activities,,,-5153000.0,3154000.0
