,2021-05-31,2021-02-28,2020-11-30,2020-08-31
Intangible Assets,47592000.0,48230000.0,48880000.0,49820000.0
Capital Surplus,2849487000.0,2804243000.0,2911223000.0,3083137000.0
Total Liab,47724094000.0,46934582000.0,43530151000.0,42180264000.0
Total Stockholder Equity,10072634000.0,9745862000.0,9403893000.0,9410665000.0
Minority Interest,57241000.0,63475000.0,59308000.0,58059000.0
Other Current Liab,11972570000.0,12370354000.0,10027817000.0,11001669000.0
Total Assets,57978969000.0,56868919000.0,53118352000.0,51773988000.0
Common Stock,247032000.0,246703000.0,249751000.0,259246000.0
Other Current Assets,400621000.0,529923000.0,481007000.0,529684000.0
Retained Earnings,7340113000.0,7041460000.0,6531836000.0,6264689000.0
Other Liab,12391962000.0,10609170000.0,10371672000.0,8776348000.0
Treasury Stock,-363998000.0,-346544000.0,-288917000.0,-196407000.0
Other Assets,2836013000.0,2804061000.0,2707885000.0,2917597000.0
Cash,2221849000.0,1941241000.0,1943035000.0,1665914000.0
Total Current Liabilities,21806949000.0,22993708000.0,20933249000.0,21770889000.0
Other Stockholder Equity,-363998000.0,-346544000.0,-288917000.0,-196407000.0
Property Plant Equipment,38181000.0,39856000.0,41975000.0,43756000.0
Total Current Assets,27786083000.0,27549858000.0,24648366000.0,22597518000.0
Long Term Investments,16519102000.0,15256097000.0,14838733000.0,15120392000.0
Net Tangible Assets,8160154000.0,7831540000.0,7490426000.0,7496123000.0
Net Receivables,3870847000.0,4089503000.0,3591471000.0,3169191000.0
Long Term Debt,5562546000.0,5829867000.0,4744743000.0,4807660000.0
