,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-180752000000.0,-129772000000.0,-18046000000.0,43223000000.0
Change To Liabilities,7827000000.0,-352000000.0,14630000000.0,-16508000000.0
Total Cashflows From Investing Activities,-261912000000.0,-52059000000.0,-199420000000.0,28249000000.0
Net Borrowings,10944000000.0,-31450000000.0,38952000000.0,-18384000000.0
Total Cash From Financing Activities,596645000000.0,32987000000.0,34158000000.0,14642000000.0
Change To Operating Activities,14030000000.0,-59717000000.0,2650000000.0,-30927000000.0
Net Income,29131000000.0,36431000000.0,32474000000.0,24441000000.0
Change In Cash,263978000000.0,-15162000000.0,-152511000000.0,40150000000.0
Repurchase Of Stock,-6517000000.0,-24001000000.0,-19983000000.0,-15410000000.0
Effect Of Exchange Rate,9155000000.0,-182000000.0,-2863000000.0,8086000000.0
Total Cash From Operating Activities,-79910000000.0,4092000000.0,15614000000.0,-10827000000.0
Depreciation,8614000000.0,8368000000.0,7791000000.0,6179000000.0
Other Cashflows From Investing Activities,-54456000000.0,67361000000.0,-128187000000.0,30885000000.0
Dividends Paid,-12690000000.0,-12343000000.0,-10109000000.0,-8993000000.0
Other Cashflows From Financing Activities,601838000000.0,99856000000.0,25298000000.0,57429000000.0
Change To Netincome,27249000000.0,12889000000.0,-1015000000.0,16183000000.0
