Unnamed: 0,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,6253000000.0,5399000000.0,5345000000.0,4180000000.0
Capital Surplus,88357000000.0,88194000000.0,88005000000.0,88394000000.0
Total Liab,3467535000000.0,3397870000000.0,3408622000000.0,3106717000000.0
Total Stockholder Equity,255203000000.0,253548000000.0,249151000000.0,249291000000.0
Other Current Liab,126058000000.0,127822000000.0,130909000000.0,99558000000.0
Total Assets,3757576000000.0,3684256000000.0,3689336000000.0,3386071000000.0
Common Stock,4105000000.0,4105000000.0,4105000000.0,4105000000.0
Other Current Assets,330985000000.0,286481000000.0,269033000000.0,235637000000.0
Retained Earnings,265276000000.0,256983000000.0,248151000000.0,236990000000.0
Good Will,50313000000.0,49256000000.0,49243000000.0,49248000000.0
Treasury Stock,-102535000000.0,-95734000000.0,-91110000000.0,-80198000000.0
Other Assets,1189327000000.0,1254801000000.0,1214132000000.0,1146272000000.0
Cash,308018000000.0,686421000000.0,689972000000.0,503209000000.0
Total Current Liabilities,3155813000000.0,3072257000000.0,3102584000000.0,2824737000000.0
Other Stockholder Equity,963000000.0,2570000000.0,1041000000.0,7986000000.0
Property Plant Equipment,26996000000.0,45931000000.0,46926000000.0,48264000000.0
Total Current Assets,1889555000000.0,1754600000000.0,1775673000000.0,1538408000000.0
Long Term Investments,595132000000.0,574269000000.0,598017000000.0,599699000000.0
Net Tangible Assets,203988000000.0,203442000000.0,199033000000.0,199139000000.0
Short Term Investments,734012000000.0,260987000000.0,272481000000.0,296284000000.0
Long Term Debt,311722000000.0,314329000000.0,295098000000.0,272657000000.0
Inventory,639000000.0,123000000.0,135000000.0,152000000.0
Accounts Payable,2670957000000.0,2537215000000.0,2501438000000.0,2214536000000.0
Other Liab,,2998000000.0,2519000000.0,2421000000.0
Short Long Term Debt,,,,26934000000.0
Net Income,11687000000.0,11948000000.0,14300000000.0,12136000000.0
Change To Liabilities,0.0,7213000000.0,23559000000.0,-8781000000.0
Investments,,24814000000.0,-17687000000.0,-59638000000.0
Total Cashflows From Investing Activities,,17698000000.0,15391000000.0,-63706000000.0
Net Borrowings,,-48220000000.0,105971000000.0,-20346000000.0
Total Cash From Financing Activities,,-37943000000.0,218911000000.0,125958000000.0
Change To Operating Activities,,-14823000000.0,-11827000000.0,-18429000000.0
Change In Cash,,-5651000000.0,183463000000.0,40087000000.0
Repurchase Of Stock,,-6194000000.0,-4806000000.0,-4806000000.0
Effect Of Exchange Rate,,1064000000.0,-6967000000.0,5887000000.0
Total Cash From Operating Activities,,13530000000.0,-43872000000.0,-28052000000.0
Depreciation,,2003000000.0,2070000000.0,2127000000.0
Other Cashflows From Investing Activities,,8639000000.0,23138000000.0,19539000000.0
Dividends Paid,,-3121000000.0,-3193000000.0,-3139000000.0
Other Cashflows From Financing Activities,,18317000000.0,119439000000.0,149443000000.0
Change To Netincome,,-14463000000.0,-13389000000.0,2134000000.0
