Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,23968000000.0,24117000000.0,23967000000.0,3834000000.0
Capital Surplus,21677000000.0,21557000000.0,21471000000.0,6377000000.0
Total Liab,25949000000.0,26261000000.0,26385000000.0,8081000000.0
Total Stockholder Equity,23829000000.0,23257000000.0,22533000000.0,7398000000.0
Minority Interest,1000000.0,,,265000000.0
Other Current Liab,451000000.0,656000000.0,899000000.0,12000000.0
Total Assets,49779000000.0,49518000000.0,48918000000.0,15744000000.0
Common Stock,14000000.0,14000000.0,14000000.0,8000000.0
Other Current Assets,172000000.0,293000000.0,153000000.0,30000000.0
Retained Earnings,2061000000.0,1582000000.0,1178000000.0,914000000.0
Other Liab,6227000000.0,6264000000.0,6171000000.0,1087000000.0
Good Will,20184000000.0,20172000000.0,20011000000.0,9819000000.0
Treasury Stock,77000000.0,104000000.0,-130000000.0,99000000.0
Other Assets,293000000.0,261000000.0,207000000.0,55000000.0
Cash,240000000.0,75000000.0,83000000.0,90000000.0
Total Current Liabilities,7694000000.0,6474000000.0,5702000000.0,2018000000.0
Deferred Long Term Asset Charges,45000000.0,29000000.0,26000000.0,27000000.0
Short Long Term Debt,2347000000.0,347000000.0,386000000.0,219000000.0
Other Stockholder Equity,77000000.0,104000000.0,-130000000.0,99000000.0
Property Plant Equipment,2857000000.0,2525000000.0,2310000000.0,790000000.0
Total Current Assets,2388000000.0,2273000000.0,2159000000.0,1056000000.0
Long Term Investments,89000000.0,170000000.0,264000000.0,190000000.0
Net Tangible Assets,-20323000000.0,-21032000000.0,-21445000000.0,-6255000000.0
Net Receivables,1144000000.0,1184000000.0,1223000000.0,535000000.0
Long Term Debt,11150000000.0,12827000000.0,14207000000.0,4879000000.0
Inventory,817000000.0,703000000.0,669000000.0,394000000.0
Accounts Payable,3740000000.0,3176000000.0,2300000000.0,1580000000.0
Investments,-5000000.0,-16000000.0,-4000000.0,250000000.0
Change To Liabilities,624000000.0,583000000.0,206000000.0,392000000.0
Total Cashflows From Investing Activities,-316000000.0,-150000000.0,-19131000000.0,-72000000.0
Net Borrowings,-1003000000.0,-1324000000.0,8316000000.0,-2436000000.0
Total Cash From Financing Activities,-1990000000.0,-2364000000.0,17577000000.0,-2480000000.0
Change To Operating Activities,-255000000.0,-222000000.0,-87000000.0,-20000000.0
Issuance Of Stock,29000000.0,29000000.0,9000000000.0,9000000000.0
Net Income,1325000000.0,1254000000.0,586000000.0,2448000000.0
Change In Cash,144000000.0,-28000000.0,44000000.0,-1016000000.0
Effect Of Exchange Rate,-6000000.0,12000000.0,-15000000.0,-4000000.0
Total Cash From Operating Activities,2456000000.0,2474000000.0,1613000000.0,1540000000.0
Depreciation,653000000.0,658000000.0,434000000.0,264000000.0
Other Cashflows From Investing Activities,3000000.0,-8000000.0,-5000000.0,-28000000.0
Dividends Paid,-846000000.0,-844000000.0,-232000000.0,-44000000.0
Change To Inventory,-107000000.0,-24000000.0,185000000.0,356000000.0
Change To Account Receivables,-5000000.0,-7000000.0,82000000.0,-220000000.0
Other Cashflows From Financing Activities,-170000000.0,-196000000.0,493000000.0,-84000000.0
Change To Netincome,312000000.0,196000000.0,136000000.0,-1760000000.0
Capital Expenditures,-461000000.0,-330000000.0,-180000000.0,-44000000.0
