,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,7500000.0,-13180000.0,-18033000.0,-29890000.0
Total Cashflows From Investing Activities,-480712000.0,-583706000.0,-647292000.0,-204263000.0
Net Borrowings,-208910000.0,-66642000.0,-41630000.0,43847000.0
Total Cash From Financing Activities,-443884000.0,-184636000.0,-255442000.0,24000000.0
Change To Operating Activities,-110178000.0,-126606000.0,-23172000.0,30447000.0
Issuance Of Stock,12748000.0,13307000.0,13547000.0,13483000.0
Net Income,410002000.0,309206000.0,419264000.0,484292000.0
Change In Cash,-4951000.0,71252000.0,-20757000.0,142327000.0
Repurchase Of Stock,-179585000.0,-86892000.0,-179318000.0,-4709000.0
Total Cash From Operating Activities,919645000.0,839594000.0,881977000.0,322590000.0
Depreciation,506670000.0,462958000.0,430089000.0,207105000.0
Other Cashflows From Investing Activities,-45581000.0,4109000.0,14899000.0,9790000.0
Dividends Paid,-54620000.0,-41425000.0,-42770000.0,-25454000.0
Change To Account Receivables,-75521000.0,70106000.0,-9375000.0,-48454000.0
Other Cashflows From Financing Activities,-13517000.0,-2984000.0,-5271000.0,-7876000.0
Change To Netincome,167049000.0,147179000.0,35033000.0,-281788000.0
Capital Expenditures,-521550000.0,-846070000.0,-786319000.0,-388744000.0
Investments,,,,8674000.0
