,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,14670000.0,26924000.0,31474000.0,37047000.0
Capital Surplus,5131916000.0,4350917000.0,3976953000.0,3822492000.0
Total Liab,4723387000.0,4329236000.0,3564446000.0,2842522000.0
Total Stockholder Equity,5029943000.0,4293510000.0,3929907000.0,3700793000.0
Minority Interest,247378000.0,277348000.0,271354000.0,259523000.0
Deferred Long Term Liab,196279000.0,185881000.0,166100000.0,146681000.0
Other Current Liab,75647000.0,53219000.0,47559000.0,43448000.0
Total Assets,10000708000.0,8900094000.0,7765707000.0,6802838000.0
Common Stock,1160000.0,1060000.0,1007000.0,986000.0
Other Current Assets,128813000.0,62122000.0,155136000.0,84931000.0
Other Liab,181181000.0,205991000.0,464106000.0,202374000.0
Treasury Stock,-103133000.0,-58467000.0,-48053000.0,-122685000.0
Other Assets,1974385000.0,2482011000.0,2224610000.0,1579489000.0
Cash,731991000.0,60044000.0,51604000.0,57649000.0
Total Current Liabilities,526388000.0,472067000.0,167739000.0,293085000.0
Other Stockholder Equity,-103133000.0,-58467000.0,-48053000.0,-122685000.0
Property Plant Equipment,6752184000.0,5902916000.0,5013587000.0,4760493000.0
Total Current Assets,1259469000.0,488243000.0,496036000.0,425809000.0
Net Tangible Assets,5015273000.0,4266586000.0,3898433000.0,3663746000.0
Net Receivables,398665000.0,366077000.0,289296000.0,283229000.0
Long Term Debt,3923681000.0,3552778000.0,2932601000.0,2347063000.0
Accounts Payable,373800000.0,338148000.0,31826000.0,221337000.0
Short Long Term Debt,,,,3584000.0
