,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-1500000.0,-5700000.0,-500000.0,-2000000.0
Change To Liabilities,43400000.0,-9600000.0,-2000000.0,34200000.0
Total Cashflows From Investing Activities,-165000000.0,-114000000.0,-112800000.0,-114000000.0
Net Borrowings,-1900000.0,-1600000.0,-6100000.0,-7100000.0
Total Cash From Financing Activities,-50800000.0,-39500000.0,-606400000.0,-154000000.0
Change To Operating Activities,9400000.0,1100000.0,-1300000.0,25600000.0
Issuance Of Stock,200000.0,2300000.0,3300000.0,2100000.0
Net Income,-378500000.0,153000000.0,165700000.0,189800000.0
Change In Cash,65900000.0,71700000.0,-457800000.0,25900000.0
Effect Of Exchange Rate,600000.0,-1000000.0,1300000.0,-500000.0
Total Cash From Operating Activities,281100000.0,226200000.0,260100000.0,294400000.0
Depreciation,91200000.0,92000000.0,90000000.0,89200000.0
Other Cashflows From Investing Activities,-2000000.0,-2700000.0,-4200000.0,-3000000.0
Change To Inventory,-2600000.0,-4000000.0,-900000.0,3300000.0
Change To Account Receivables,-24600000.0,-27500000.0,13400000.0,-32000000.0
Other Cashflows From Financing Activities,-49100000.0,-49100000.0,-37600000.0,-37600000.0
Change To Netincome,542800000.0,21200000.0,-4800000.0,-15700000.0
Capital Expenditures,-144500000.0,-106000000.0,-110300000.0,-106900000.0
Dividends Paid,,-40200000.0,-40200000.0,-37800000.0
Repurchase Of Stock,,,-566000000.0,-111200000.0
