,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,914446000.0,992244000.0,915453000.0,796348000.0
1,Capital Surplus,1963850000.0,1922222000.0,1852421000.0,1762499000.0
2,Total Liab,4588673000.0,4760849000.0,3412857000.0,3110852000.0
3,Total Stockholder Equity,1202768000.0,1180306000.0,1131784000.0,1103493000.0
4,Other Current Liab,111363000.0,127254000.0,107202000.0,174319000.0
5,Total Assets,5791441000.0,5941155000.0,4544641000.0,4214345000.0
6,Common Stock,101000.0,101000.0,100000.0,98000.0
7,Other Current Assets,18147000.0,29051000.0,106599000.0,103349000.0
8,Retained Earnings,-717331000.0,-708408000.0,-695337000.0,-639106000.0
9,Other Liab,264335000.0,266256000.0,273254000.0,245832000.0
10,Good Will,1912328000.0,1912274000.0,1919386000.0,1740454000.0
11,Treasury Stock,-43852000.0,-33609000.0,-25400000.0,-19998000.0
12,Other Assets,60565000.0,56574000.0,51085000.0,42886000.0
13,Cash,121569000.0,26188000.0,21494000.0,115471000.0
14,Total Current Liabilities,547872000.0,672808000.0,455035000.0,325994000.0
15,Short Long Term Debt,122434000.0,226514000.0,204120000.0,17664000.0
16,Other Stockholder Equity,934000.0,685000.0,12000.0,1302000.0
17,Property Plant Equipment,2523532000.0,2669894000.0,1295048000.0,1214138000.0
18,Total Current Assets,380570000.0,310169000.0,363669000.0,420519000.0
19,Net Tangible Assets,-1624006000.0,-1724212000.0,-1703055000.0,-1433309000.0
20,Net Receivables,240854000.0,254930000.0,235576000.0,201699000.0
21,Long Term Debt,2764082000.0,2753604000.0,2684568000.0,2539026000.0
22,Accounts Payable,12017000.0,14974000.0,21246000.0,17961000.0
0,Change To Liabilities,841000.0,700000.0,1366000.0,309000.0
1,Total Cashflows From Investing Activities,-96888000.0,-362034000.0,-584148000.0,-400066000.0
2,Net Borrowings,-91805000.0,90529000.0,319132000.0,203507000.0
3,Total Cash From Financing Activities,-377917000.0,-264357000.0,-73563000.0,-28641000.0
4,Change To Operating Activities,20241000.0,12134000.0,-269000.0,-22241000.0
5,Issuance Of Stock,11148000.0,44262000.0,62662000.0,26684000.0
6,Net Income,243386000.0,372111000.0,305232000.0,317676000.0
7,Change In Cash,95381000.0,4694000.0,-93977000.0,79941000.0
8,Repurchase Of Stock,-10492000.0,-8882000.0,-4112000.0,-8997000.0
9,Effect Of Exchange Rate,313000.0,220000.0,-1112000.0,1632000.0
10,Total Cash From Operating Activities,569873000.0,630865000.0,564846000.0,507016000.0
11,Depreciation,251296000.0,250028000.0,225261000.0,211104000.0
12,Dividends Paid,-252309000.0,-385182000.0,-443088000.0,-244201000.0
13,Change To Account Receivables,1287000.0,-28357000.0,-33292000.0,-17524000.0
14,Other Cashflows From Financing Activities,-34459000.0,-5084000.0,-8157000.0,-5634000.0
15,Change To Netincome,46913000.0,18884000.0,61628000.0,12572000.0
16,Capital Expenditures,-36961000.0,-108021000.0,-89207000.0,-79096000.0
17,Other Cashflows From Investing Activities,,-238000.0,4231000.0,515000.0
