,2021-07-02,2021-04-02,2021-01-01,2020-10-02
Intangible Assets,1329000000.0,1234000000.0,1216000000.0,1335000000.0
Capital Surplus,2509000000.0,2486000000.0,2580000000.0,2624000000.0
Total Liab,8887000000.0,8658000000.0,8640000000.0,8570000000.0
Total Stockholder Equity,4099000000.0,3933000000.0,3862000000.0,3706000000.0
Minority Interest,49000000.0,47000000.0,9000000.0,9000000.0
Other Current Liab,320000000.0,433000000.0,505000000.0,579000000.0
Total Assets,13035000000.0,12638000000.0,12511000000.0,12285000000.0
Other Current Assets,403000000.0,452000000.0,402000000.0,523000000.0
Retained Earnings,1605000000.0,1484000000.0,1328000000.0,1180000000.0
Other Liab,462000000.0,436000000.0,422000000.0,384000000.0
Good Will,6707000000.0,6456000000.0,6313000000.0,6158000000.0
Treasury Stock,-15000000.0,-37000000.0,-46000000.0,-98000000.0
Other Assets,448000000.0,452000000.0,443000000.0,435000000.0
Cash,338000000.0,377000000.0,524000000.0,512000000.0
Total Current Liabilities,3108000000.0,2920000000.0,2907000000.0,3398000000.0
Short Long Term Debt,481000000.0,103000000.0,94000000.0,401000000.0
Other Stockholder Equity,-15000000.0,-37000000.0,-46000000.0,-98000000.0
Property Plant Equipment,1288000000.0,1239000000.0,1185000000.0,1158000000.0
Total Current Assets,3263000000.0,3257000000.0,3339000000.0,3199000000.0
Net Tangible Assets,-3937000000.0,-3757000000.0,-3667000000.0,-3787000000.0
Net Receivables,2271000000.0,2160000000.0,2137000000.0,1872000000.0
Long Term Debt,4717000000.0,4745000000.0,4742000000.0,4239000000.0
Inventory,251000000.0,268000000.0,276000000.0,292000000.0
Accounts Payable,1624000000.0,1700000000.0,731000000.0,1700000000.0
Deferred Long Term Liab,,,187000000.0,
Deferred Long Term Asset Charges,,,9000000.0,
Long Term Investments,,,15000000.0,
