Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,4100000.0,2400000.0,600000.0,100000.0
Capital Surplus,859800000.0,15700000.0,10700000.0,8500000.0
Total Liab,287700000.0,116600000.0,52100000.0,12200000.0
Total Stockholder Equity,541000000.0,-182500000.0,-79100000.0,-28400000.0
Other Current Liab,146500000.0,68500000.0,27700000.0,6400000.0
Total Assets,828700000.0,414300000.0,153800000.0,44200000.0
Other Current Assets,51200000.0,21800000.0,12500000.0,3500000.0
Retained Earnings,-320600000.0,-198300000.0,-89800000.0,-36900000.0
Other Liab,48200000.0,28800000.0,13200000.0,2500000.0
Treasury Stock,1800000.0,100000.0,,
Cash,570800000.0,270000000.0,102200000.0,16800000.0
Total Current Liabilities,239500000.0,87800000.0,38900000.0,9700000.0
Other Stockholder Equity,1800000.0,100000.0,,
Property Plant Equipment,5700000.0,3100000.0,1000000.0,300000.0
Total Current Assets,812300000.0,402700000.0,149000000.0,40300000.0
Long Term Investments,6600000.0,5900000.0,3200000.0,3200000.0
Net Tangible Assets,540400000.0,-183100000.0,-79100000.0,-28400000.0
Net Receivables,91500000.0,54300000.0,26100000.0,5900000.0
Accounts Payable,76500000.0,4600000.0,3800000.0,2100000.0
Other Assets,,200000.0,,300000.0
Short Term Investments,,54700000.0,6000000.0,13100000.0
Investments,54500000.0,-50700000.0,7100000.0,-12400000.0
Change To Liabilities,56500000.0,39500000.0,21600000.0,6900000.0
Total Cashflows From Investing Activities,50100000.0,-54000000.0,6400000.0,-12700000.0
Total Cash From Financing Activities,341100000.0,300100000.0,119900000.0,800000.0
Change To Operating Activities,-18100000.0,14700000.0,8100000.0,-600000.0
Issuance Of Stock,341100000.0,700000.0,100000.0,100000.0
Net Income,-122300000.0,-108500000.0,-52900000.0,-28100000.0
Change In Cash,301100000.0,167900000.0,85500000.0,-31000000.0
Effect Of Exchange Rate,1600000.0,-100000.0,-100000.0,-100000.0
Total Cash From Operating Activities,-91700000.0,-78100000.0,-40800000.0,-19100000.0
Depreciation,1700000.0,600000.0,100000.0,100000.0
Change To Account Receivables,-34200000.0,-29100000.0,-20000000.0,-5700000.0
Change To Netincome,24700000.0,4700000.0,2300000.0,8400000.0
Capital Expenditures,-4400000.0,-2700000.0,-700000.0,-300000.0
Other Cashflows From Financing Activities,,-600000.0,-200000.0,-200000.0
