Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,5500000.0,4700000.0,4100000.0,3900000.0
Capital Surplus,1525900000.0,1512300000.0,859800000.0,855000000.0
Total Liab,385700000.0,333800000.0,287700000.0,262500000.0
Total Stockholder Equity,1101600000.0,1143700000.0,541000000.0,569000000.0
Other Current Liab,201200000.0,171800000.0,146500000.0,136400000.0
Total Assets,1487300000.0,1477500000.0,828700000.0,831500000.0
Other Current Assets,65000000.0,66100000.0,51200000.0,42500000.0
Retained Earnings,-425200000.0,-369600000.0,-320600000.0,-286700000.0
Other Liab,67900000.0,64600000.0,48200000.0,41100000.0
Treasury Stock,900000.0,1000000.0,1800000.0,700000.0
Other Assets,16000000.0,16000000.0,,13900000.0
Cash,1092400000.0,1174400000.0,570800000.0,575400000.0
Total Current Liabilities,317800000.0,269200000.0,239500000.0,221400000.0
Other Stockholder Equity,900000.0,1000000.0,1800000.0,700000.0
Property Plant Equipment,8800000.0,6900000.0,5700000.0,5100000.0
Total Current Assets,1385800000.0,1443400000.0,812300000.0,801900000.0
Long Term Investments,71200000.0,6500000.0,6600000.0,6700000.0
Net Tangible Assets,1101000000.0,1143100000.0,540400000.0,568400000.0
Net Receivables,108100000.0,98500000.0,91500000.0,82800000.0
Accounts Payable,96900000.0,82300000.0,76500000.0,71300000.0
Short Term Investments,,,,15000000.0
Investments,-64600000.0,-64600000.0,15100000.0,15000000.0
Change To Liabilities,22800000.0,19300000.0,8900000.0,28600000.0
Total Cashflows From Investing Activities,-67300000.0,-2000000.0,13800000.0,13800000.0
Total Cash From Financing Activities,1700000.0,646400000.0,1500000.0,338200000.0
Change To Operating Activities,13600000.0,-5200000.0,3600000.0,-18400000.0
Issuance Of Stock,1700000.0,646400000.0,1500000.0,338200000.0
Net Income,-55600000.0,-49000000.0,-33900000.0,-30900000.0
Change In Cash,-82000000.0,603300000.0,-4300000.0,316900000.0
Effect Of Exchange Rate,-200000.0,-800000.0,1100000.0,600000.0
Total Cash From Operating Activities,-16200000.0,-40300000.0,-20700000.0,-35700000.0
Depreciation,800000.0,900000.0,600000.0,400000.0
Change To Account Receivables,-11100000.0,-13300000.0,-4100000.0,-18500000.0
Change To Netincome,13300000.0,7000000.0,4200000.0,3100000.0
Capital Expenditures,-2700000.0,-2000000.0,-1300000.0,-1200000.0
