,2021-05-30,2020-05-31,2019-05-26,2018-05-27
Change To Liabilities,104700000.0,-34900000.0,32900000.0,-8300000.0
Total Cashflows From Investing Activities,-162500000.0,-346000000.0,-423000000.0,-306800000.0
Net Borrowings,-804300000.0,1277100000.0,-67700000.0,-53600000.0
Total Cash From Financing Activities,-974000000.0,1125000000.0,-299600000.0,-178900000.0
Change To Operating Activities,-13900000.0,-18100000.0,-18100000.0,-4000000.0
Net Income,317800000.0,365900000.0,478600000.0,416800000.0
Change In Cash,-580500000.0,1351800000.0,-43400000.0,-1500000.0
Repurchase Of Stock,-36100000.0,-28900000.0,-36400000.0,-2700000.0
Effect Of Exchange Rate,2800000.0,-1200000.0,-1700000.0,3000000.0
Total Cash From Operating Activities,553200000.0,574000000.0,680900000.0,481200000.0
Depreciation,182700000.0,177800000.0,157700000.0,138700000.0
Other Cashflows From Investing Activities,-15300000.0,-39000000.0,-200000.0,-200000.0
Dividends Paid,-135300000.0,-121300000.0,-113300000.0,-110200000.0
Change To Inventory,-22000000.0,15300000.0,-15800000.0,-23600000.0
Change To Account Receivables,-21000000.0,1100000.0,-25100000.0,-40400000.0
Other Cashflows From Financing Activities,1700000.0,-1900000.0,-82200000.0,-12400000.0
Change To Netincome,2100000.0,58000000.0,64300000.0,-16300000.0
Capital Expenditures,-147200000.0,-167700000.0,-334200000.0,-306800000.0
Investments,,-22600000.0,-22600000.0,-22600000.0
