,2021-01-31,2020-01-31,2019-01-31,2018-01-31
Investments,-137441000.0,-116025000.0,17452000.0,29746000.0
Change To Liabilities,30244000.0,51846000.0,43812000.0,40071000.0
Total Cashflows From Investing Activities,-381910000.0,-216066000.0,6193000.0,-8796000.0
Net Borrowings,546855000.0,-5837000.0,-708000.0,-100000.0
Total Cash From Financing Activities,581408000.0,399685000.0,11385000.0,6043000.0
Change To Operating Activities,-49397000.0,-27455000.0,-18288000.0,17766000.0
Issuance Of Stock,96423000.0,353581000.0,12093000.0,6143000.0
Net Income,-148656000.0,-112333000.0,-82234000.0,-70361000.0
Change In Cash,201462000.0,181990000.0,2177000.0,13924000.0
Effect Of Exchange Rate,312000.0,-35000.0,-204000.0,267000.0
Total Cash From Operating Activities,1652000.0,-1594000.0,-15197000.0,16410000.0
Depreciation,22614000.0,13732000.0,13456000.0,10995000.0
Change To Account Receivables,-30391000.0,-43268000.0,-16383000.0,-12432000.0
Other Cashflows From Financing Activities,-61870000.0,-61870000.0,-91000.0,-312000.0
Change To Netincome,135302000.0,94975000.0,30839000.0,18956000.0
Capital Expenditures,-20822000.0,-22009000.0,-11259000.0,-38542000.0
Repurchase Of Stock,,-17907000.0,-17907000.0,-17907000.0
Other Cashflows From Investing Activities,,-1500000.0,-1500000.0,-1500000.0
