,2021-07-31,2021-04-30,2021-01-31,2020-10-31
Intangible Assets,77575000.0,83547000.0,60623000.0,64159000.0
Capital Surplus,1094280000.0,1057084000.0,1136534000.0,1092357000.0
Total Liab,1002123000.0,979392000.0,893408000.0,735189000.0
Total Stockholder Equity,356730000.0,383761000.0,508241000.0,510486000.0
Deferred Long Term Liab,75934000.0,69571000.0,68929000.0,60179000.0
Other Current Liab,284306000.0,292073000.0,317010000.0,219351000.0
Total Assets,1358853000.0,1363153000.0,1401649000.0,1245675000.0
Common Stock,153000.0,151000.0,150000.0,145000.0
Other Current Assets,37712000.0,33688000.0,32134000.0,28083000.0
Retained Earnings,-737263000.0,-674773000.0,-629629000.0,-580859000.0
Other Liab,10707000.0,11938000.0,5526000.0,9679000.0
Good Will,410453000.0,412480000.0,262942000.0,260562000.0
Treasury Stock,-440000.0,1299000.0,1186000.0,-1157000.0
Other Assets,92617000.0,81080000.0,79604000.0,73750000.0
Cash,257051000.0,283939000.0,428328000.0,497688000.0
Total Current Liabilities,381141000.0,356985000.0,387183000.0,268068000.0
Other Stockholder Equity,-440000.0,1299000.0,1186000.0,-1157000.0
Property Plant Equipment,75624000.0,79224000.0,79718000.0,44520000.0
Total Current Assets,702584000.0,706822000.0,918762000.0,802684000.0
Net Tangible Assets,-131298000.0,-112266000.0,184676000.0,185765000.0
Short Term Investments,250528000.0,256598000.0,254061000.0,156337000.0
Net Receivables,126764000.0,103312000.0,181431000.0,97666000.0
Long Term Debt,561105000.0,560276000.0,448064000.0,442085000.0
Accounts Payable,17756000.0,16349000.0,11904000.0,13546000.0
