Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,119989000.0,90945000.0,95354000.0,58873000.0
Capital Surplus,313683000.0,309988000.0,329742000.0,327646000.0
Total Liab,516063000.0,557636000.0,376368000.0,347965000.0
Total Stockholder Equity,1021860000.0,988233000.0,955061000.0,897539000.0
Other Current Liab,41345000.0,49542000.0,43555000.0,36754000.0
Total Assets,1537923000.0,1545869000.0,1331429000.0,1245504000.0
Common Stock,123000.0,123000.0,123000.0,122000.0
Other Current Assets,144074000.0,172269000.0,147192000.0,134970000.0
Retained Earnings,896977000.0,854747000.0,799369000.0,749211000.0
Other Liab,315503000.0,308268000.0,133326000.0,143212000.0
Good Will,154789000.0,147388000.0,147388000.0,147388000.0
Treasury Stock,-188923000.0,-176625000.0,-174173000.0,-179440000.0
Cash,413612000.0,390915000.0,460858000.0,310368000.0
Total Current Liabilities,115251000.0,165795000.0,161561000.0,113462000.0
Other Stockholder Equity,-5444000.0,-6582000.0,-4650000.0,-10599000.0
Property Plant Equipment,167014000.0,163878000.0,161128000.0,158766000.0
Total Current Assets,1096131000.0,1143658000.0,927559000.0,880425000.0
Net Tangible Assets,747082000.0,749900000.0,712319000.0,691278000.0
Net Receivables,481431000.0,540815000.0,262449000.0,385729000.0
Accounts Payable,27672000.0,44553000.0,43549000.0,23365000.0
Other Assets,,,,52000.0
Deferred Long Term Asset Charges,,,,52000.0
Change To Liabilities,-34043000.0,177541000.0,-6167000.0,141470000.0
Total Cashflows From Investing Activities,-31014000.0,-12332000.0,-34252000.0,90188000.0
Net Borrowings,-33256000.0,34302000.0,34302000.0,34302000.0
Total Cash From Financing Activities,-73915000.0,-18850000.0,-27741000.0,-33376000.0
Change To Operating Activities,1462000.0,-32866000.0,7783000.0,4292000.0
Issuance Of Stock,4421000.0,244000.0,3259000.0,9000.0
Net Income,67288000.0,80457000.0,72931000.0,67776000.0
Change In Cash,-7439000.0,-55368000.0,170749000.0,12568000.0
Repurchase Of Stock,-20296000.0,-27942000.0,-8538000.0,-10949000.0
Effect Of Exchange Rate,764000.0,-1027000.0,5122000.0,4109000.0
Total Cash From Operating Activities,96726000.0,-23159000.0,227620000.0,-48353000.0
Depreciation,14801000.0,13443000.0,7288000.0,10853000.0
Dividends Paid,-24784000.0,-25454000.0,-22462000.0,-22436000.0
Change To Account Receivables,59503000.0,-278371000.0,123369000.0,-286798000.0
Change To Netincome,7041000.0,7941000.0,6861000.0,8893000.0
Capital Expenditures,-5552000.0,-4257000.0,-1988000.0,-3758000.0
Investments,,,,102061000.0
