Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Capital Surplus,33238000000.0,33222000000.0,33208000000.0,33183000000.0
Total Liab,57607000000.0,57172000000.0,54938000000.0,53506000000.0
Total Stockholder Equity,28921000000.0,21592000000.0,22199000000.0,22453000000.0
Minority Interest,7772000000.0,7887000000.0,8021000000.0,8061000000.0
Other Current Liab,6148000000.0,3370000000.0,3777000000.0,3636000000.0
Total Assets,94300000000.0,86651000000.0,85158000000.0,84020000000.0
Common Stock,10000000.0,10000000.0,10000000.0,10000000.0
Other Current Assets,585000000.0,11762000000.0,12013000000.0,12068000000.0
Retained Earnings,12160000000.0,4029000000.0,4650000000.0,4744000000.0
Other Liab,8825000000.0,9386000000.0,9531000000.0,8767000000.0
Good Will,8256000000.0,8256000000.0,8256000000.0,8256000000.0
Treasury Stock,-16487000000.0,-15669000000.0,-15669000000.0,-15484000000.0
Other Assets,2532000000.0,2594000000.0,2637000000.0,2705000000.0
Cash,11839000000.0,624000000.0,415000000.0,618000000.0
Total Current Liabilities,19512000000.0,16085000000.0,15663000000.0,14246000000.0
Short Long Term Debt,70000000.0,69000000.0,1761000000.0,2500000000.0
Other Stockholder Equity,-340000000.0,-511000000.0,-512000000.0,-334000000.0
Property Plant Equipment,39496000000.0,40005000000.0,40556000000.0,41397000000.0
Total Current Assets,38592000000.0,30361000000.0,28287000000.0,26200000000.0
Long Term Investments,5424000000.0,5435000000.0,5422000000.0,5462000000.0
Net Tangible Assets,20665000000.0,13336000000.0,13943000000.0,14197000000.0
Short Term Investments,5418000000.0,,,
Net Receivables,11871000000.0,9568000000.0,7860000000.0,6111000000.0
Long Term Debt,27639000000.0,30061000000.0,28154000000.0,28752000000.0
Inventory,8879000000.0,8407000000.0,7999000000.0,7403000000.0
Accounts Payable,12170000000.0,9953000000.0,7803000000.0,6701000000.0
Deferred Long Term Asset Charges,,,3000000.0,
Investments,-5477000000.0,-50000000.0,-34000000.0,-34000000.0
Change To Liabilities,2656000000.0,1821000000.0,1091000000.0,0.0
Total Cashflows From Investing Activities,15670000000.0,-267000000.0,-433000000.0,-433000000.0
Net Borrowings,-4169000000.0,865000000.0,-342000000.0,-342000000.0
Total Cash From Financing Activities,-5970000000.0,16000000.0,-1057000000.0,-1057000000.0
Change To Operating Activities,-1000000.0,5000000.0,-17000000.0,-17000000.0
Issuance Of Stock,30000000.0,23000000.0,5000000.0,5000000.0
Net Income,8512000000.0,-242000000.0,285000000.0,-886000000.0
Change In Cash,11080000000.0,203000000.0,-162000000.0,-162000000.0
Repurchase Of Stock,-984000000.0,-984000000.0,-984000000.0,-984000000.0
Total Cash From Operating Activities,1380000000.0,454000000.0,1328000000.0,1328000000.0
Depreciation,871000000.0,844000000.0,849000000.0,849000000.0
Other Cashflows From Investing Activities,21444000000.0,11000000.0,-19000000.0,-19000000.0
Dividends Paid,-381000000.0,-379000000.0,-377000000.0,-377000000.0
Change To Inventory,-472000000.0,-408000000.0,585000000.0,585000000.0
Change To Account Receivables,-2224000000.0,-1723000000.0,-863000000.0,-863000000.0
Other Cashflows From Financing Activities,-466000000.0,-493000000.0,-343000000.0,-343000000.0
Change To Netincome,-7981000000.0,135000000.0,-622000000.0,-622000000.0
Capital Expenditures,-302000000.0,-304000000.0,-457000000.0,-457000000.0
