,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,15000000.0,-127500000.0,-218100000.0,-244320000.0
Change To Liabilities,26900000.0,54000000.0,24200000.0,27338000.0
Total Cashflows From Investing Activities,4100000.0,-211100000.0,-242900000.0,-251253000.0
Net Borrowings,-186900000.0,-186900000.0,-186900000.0,502781000.0
Total Cash From Financing Activities,-157800000.0,32400000.0,29500000.0,516646000.0
Change To Operating Activities,-23600000.0,16800000.0,2700000.0,-3994000.0
Issuance Of Stock,29100000.0,32400000.0,29500000.0,13865000.0
Net Income,407300000.0,37000000.0,21100000.0,-142542000.0
Change In Cash,74800000.0,-31700000.0,-112000000.0,171062000.0
Total Cash From Operating Activities,228500000.0,147000000.0,101400000.0,-94331000.0
Depreciation,8600000.0,7400000.0,4000000.0,2400000.0
Change To Inventory,-10700000.0,-6400000.0,-3500000.0,-1024000.0
Change To Account Receivables,-30500000.0,-69200000.0,-25100000.0,-31127000.0
Change To Netincome,-170900000.0,87100000.0,59100000.0,42833000.0
Capital Expenditures,-10900000.0,-14700000.0,-24800000.0,-6940000.0
Other Cashflows From Investing Activities,,-68900000.0,-68900000.0,-68900000.0
