,2021-01-31,2020-01-31,2019-01-31,2018-01-31
Change To Liabilities,38368000.0,25420000.0,18206000.0,12719000.0
Total Cashflows From Investing Activities,-4338000.0,-58027000.0,-7965000.0,-2837000.0
Net Borrowings,-37000.0,-37000.0,-37000.0,-37000.0
Total Cash From Financing Activities,274121000.0,84091000.0,6260000.0,70137000.0
Change To Operating Activities,-12361000.0,-6214000.0,-490000.0,-2124000.0
Issuance Of Stock,277120000.0,81042000.0,6260000.0,70246000.0
Net Income,-40536000.0,-27594000.0,-22306000.0,-18589000.0
Change In Cash,280241000.0,16837000.0,-6329000.0,51354000.0
Effect Of Exchange Rate,1236000.0,-229000.0,-35000.0,12000.0
Total Cash From Operating Activities,9222000.0,-8998000.0,-4589000.0,-15958000.0
Depreciation,5906000.0,3914000.0,1458000.0,970000.0
Change To Account Receivables,-11413000.0,-14156000.0,-5655000.0,-12431000.0
Other Cashflows From Financing Activities,-2962000.0,3049000.0,3049000.0,-109000.0
Change To Netincome,23051000.0,5694000.0,4198000.0,3497000.0
Capital Expenditures,-4338000.0,-5760000.0,-7965000.0,-2837000.0
