,Unnamed: 0,2020-10-31,2019-10-31,2018-10-31,2017-10-31
0,Intangible Assets,407586000.0,445575000.0,499741000.0,547180000.0
1,Capital Surplus,534684000.0,483116000.0,446555000.0,412785000.0
2,Total Liab,1915665000.0,1935402000.0,1970271000.0,2259046000.0
3,Total Stockholder Equity,1758991000.0,1581045000.0,1450741000.0,1155493000.0
4,Other Current Liab,73862000.0,67738000.0,70511000.0,56964000.0
5,Total Assets,3674656000.0,3516447000.0,3421012000.0,3414539000.0
6,Common Stock,12253000.0,12253000.0,12253000.0,12253000.0
7,Other Current Assets,22315000.0,5042000.0,,
8,Retained Earnings,2908738000.0,2747650000.0,2488375000.0,2164597000.0
9,Other Liab,364837000.0,372859000.0,325784000.0,345210000.0
10,Good Will,1713354000.0,1614739000.0,1608018000.0,1589210000.0
11,Treasury Stock,-1696684000.0,-1661974000.0,-1496442000.0,-1434142000.0
12,Other Assets,52361000.0,46043000.0,42485000.0,43366000.0
13,Cash,208293000.0,151164000.0,95678000.0,90383000.0
14,Total Current Liabilities,363089000.0,477626000.0,350280000.0,647746000.0
15,Deferred Long Term Asset Charges,9831000.0,11261000.0,9780000.0,11020000.0
16,Short Long Term Debt,38043000.0,168738000.0,28734000.0,326587000.0
17,Other Stockholder Equity,-226118000.0,-231881000.0,-179314000.0,-134435000.0
18,Property Plant Equipment,480743000.0,398895000.0,386666000.0,346411000.0
19,Total Current Assets,1020612000.0,1011195000.0,884102000.0,888372000.0
20,Net Tangible Assets,-361949000.0,-479269000.0,-657018000.0,-980897000.0
21,Net Receivables,471873000.0,530765000.0,491423000.0,505087000.0
22,Long Term Debt,1067952000.0,1075404000.0,1285357000.0,1256397000.0
23,Inventory,277033000.0,283399000.0,264477000.0,264266000.0
24,Accounts Payable,70949000.0,85139000.0,83590000.0,86016000.0
0,Change To Liabilities,-11292000.0,2847000.0,2376000.0,9968000.0
1,Total Cashflows From Investing Activities,-194109000.0,-76289000.0,-139918000.0,-877964000.0
2,Net Borrowings,-161421000.0,-72697000.0,-274220000.0,596934000.0
3,Total Cash From Financing Activities,-251529000.0,-251074000.0,-353690000.0,540750000.0
4,Change To Operating Activities,10156000.0,-19954000.0,12455000.0,-8259000.0
5,Issuance Of Stock,50853000.0,26020000.0,18811000.0,14086000.0
6,Net Income,249539000.0,337091000.0,377375000.0,295802000.0
7,Change In Cash,57129000.0,55486000.0,5295000.0,23144000.0
8,Repurchase Of Stock,-52614000.0,-120510000.0,-24012000.0,-3216000.0
9,Effect Of Exchange Rate,346000.0,-44000.0,-5735000.0,3606000.0
10,Total Cash From Operating Activities,502421000.0,382893000.0,504638000.0,356752000.0
11,Depreciation,113302000.0,110244000.0,108407000.0,90854000.0
12,Other Cashflows From Investing Activities,-2000000.0,-844000.0,-844000.0,-844000.0
13,Dividends Paid,-88347000.0,-82145000.0,-72443000.0,-63840000.0
14,Change To Inventory,5785000.0,-23117000.0,5532000.0,-19667000.0
15,Change To Account Receivables,50098000.0,-39992000.0,10236000.0,-46152000.0
16,Change To Netincome,92649000.0,19606000.0,-9025000.0,26684000.0
17,Capital Expenditures,-50535000.0,-64244000.0,-89790000.0,-71558000.0
18,Other Cashflows From Financing Activities,,-1742000.0,-1826000.0,-3214000.0
19,Investments,,,,-4470000.0
