,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-69090000.0,4480000.0,-391771000.0,2466000.0
Change To Liabilities,70707000.0,52166000.0,81804000.0,62055000.0
Total Cashflows From Investing Activities,-142857000.0,-64629000.0,-470668000.0,-23745000.0
Total Cash From Financing Activities,21290000.0,26213000.0,457631000.0,32356000.0
Change To Operating Activities,-33268000.0,-31324000.0,-27715000.0,-8170000.0
Issuance Of Stock,21290000.0,25235000.0,28548000.0,32356000.0
Net Income,-192610000.0,-88937000.0,-40893000.0,-45320000.0
Change In Cash,-51701000.0,55003000.0,102480000.0,44261000.0
Total Cash From Operating Activities,69866000.0,93419000.0,115517000.0,35650000.0
Depreciation,37312000.0,36243000.0,48394000.0,15943000.0
Change To Account Receivables,-27084000.0,-28425000.0,-22557000.0,-38315000.0
Change To Netincome,140473000.0,93089000.0,53680000.0,42157000.0
Capital Expenditures,-18737000.0,-58218000.0,-43303000.0,-21368000.0
Other Cashflows From Financing Activities,,978000.0,-71168000.0,-71168000.0
Net Borrowings,,,500251000.0,500251000.0
