,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,1179000000.0,1088700000.0,1105500000.0,1117600000.0
Capital Surplus,2478200000.0,2464500000.0,2482600000.0,2516200000.0
Total Liab,2217000000.0,1948000000.0,1956300000.0,1997200000.0
Total Stockholder Equity,2492800000.0,2450000000.0,2409800000.0,2413400000.0
Other Current Liab,128100000.0,133100000.0,133800000.0,131200000.0
Total Assets,4709800000.0,4398000000.0,4366100000.0,4410600000.0
Common Stock,1700000.0,1700000.0,1700000.0,1700000.0
Other Current Assets,21300000.0,14200000.0,17500000.0,13300000.0
Retained Earnings,92300000.0,56700000.0,20700000.0,3000000.0
Other Liab,532600000.0,521800000.0,542600000.0,517800000.0
Good Will,2193300000.0,2094300000.0,2098200000.0,2090700000.0
Treasury Stock,-79400000.0,-72900000.0,-95200000.0,-107500000.0
Other Assets,65000000.0,84200000.0,63000000.0,61400000.0
Cash,101800000.0,104900000.0,122500000.0,159800000.0
Total Current Liabilities,535800000.0,463800000.0,450000000.0,409900000.0
Deferred Long Term Asset Charges,19800000.0,30400000.0,29800000.0,25700000.0
Short Long Term Debt,20000000.0,20000000.0,20000000.0,20000000.0
Other Stockholder Equity,-79400000.0,-72900000.0,-95200000.0,-107500000.0
Property Plant Equipment,370000000.0,331800000.0,335000000.0,324900000.0
Total Current Assets,902500000.0,799000000.0,764400000.0,816000000.0
Net Tangible Assets,-879500000.0,-733000000.0,-793900000.0,-794900000.0
Net Receivables,456900000.0,396500000.0,359400000.0,370200000.0
Long Term Debt,1083900000.0,923200000.0,928000000.0,1032800000.0
Inventory,275400000.0,237900000.0,235200000.0,238900000.0
Accounts Payable,219100000.0,176900000.0,171100000.0,139100000.0
