Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Capital Surplus,6122690000.0,6115487000.0,6099940000.0,6072559000.0
Total Liab,49464476000.0,46929127000.0,45244141000.0,42328819000.0
Total Stockholder Equity,6338804000.0,6208854000.0,6152395000.0,6292536000.0
Other Current Liab,171709000.0,,,
Total Assets,56306120000.0,53640821000.0,51899376000.0,49124195000.0
Common Stock,4904000.0,4904000.0,4904000.0,4891000.0
Other Current Assets,351136000.0,141300000.0,846500000.0,798658000.0
Retained Earnings,494229000.0,342023000.0,297202000.0,237868000.0
Other Liab,486264000.0,405011000.0,248345000.0,293677000.0
Good Will,2426379000.0,2426379000.0,2436131000.0,2436131000.0
Treasury Stock,-283019000.0,-253560000.0,-249651000.0,-22782000.0
Other Assets,44374631000.0,43129635000.0,41280356000.0,39552036000.0
Cash,1947931000.0,741870000.0,1474955000.0,1514769000.0
Total Current Liabilities,35927444000.0,31680532000.0,30787930000.0,29121463000.0
Short Long Term Debt,3272661000.0,,4631000000.0,
Other Stockholder Equity,-25478000.0,-32843000.0,-87653000.0,-15167000.0
Property Plant Equipment,554311000.0,598820000.0,346179000.0,368655000.0
Total Current Assets,2307385000.0,895438000.0,1485749000.0,2579827000.0
Long Term Investments,6643414000.0,6590549000.0,6350961000.0,4181446000.0
Net Tangible Assets,3912425000.0,3782475000.0,3716264000.0,3856405000.0
Long Term Debt,12810883000.0,14557593000.0,14207866000.0,12913679000.0
Inventory,8318000.0,12268000.0,10794000.0,16400000.0
Accounts Payable,32436813000.0,31657132000.0,30764430000.0,29102163000.0
Intangible Assets,,,780000.0,6100000.0
Short Term Investments,,,,250000000.0
Investments,31775000.0,-179504000.0,-2191843000.0,388877000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-1025359000.0,-2058907000.0,-4020466000.0,1061740000.0
Net Borrowings,1525000000.0,348812000.0,1293768000.0,-760000000.0
Total Cash From Financing Activities,1897224000.0,816072000.0,2426897000.0,-418131000.0
Change To Operating Activities,-521613000.0,-45254000.0,11890000.0,854563000.0
Net Income,511109000.0,395043000.0,422417000.0,466201000.0
Change In Cash,1206061000.0,-733085000.0,-1053214000.0,1970319000.0
Repurchase Of Stock,-59022000.0,-75220000.0,-163249000.0,-18463000.0
Total Cash From Operating Activities,334196000.0,509750000.0,540355000.0,1326710000.0
Depreciation,23871000.0,27096000.0,32323000.0,33011000.0
Other Cashflows From Investing Activities,-54147000.0,-141091000.0,-24468000.0,-12885000.0
Dividends Paid,-348435000.0,-350222000.0,-365889000.0,-356768000.0
Other Cashflows From Financing Activities,779681000.0,892702000.0,1662267000.0,214260000.0
Change To Netincome,320806000.0,132799000.0,73503000.0,-27381000.0
Capital Expenditures,,,-9847000.0,-27783000.0
