,2021-06-27,2021-03-28,2020-12-27,2020-09-27
Investments,-11841000.0,-21831000.0,-7064000.0,-81570000.0
Change To Liabilities,14153000.0,-58929000.0,53079000.0,41128000.0
Total Cashflows From Investing Activities,-20124000.0,-26208000.0,-11816000.0,-114326000.0
Total Cash From Financing Activities,-12177000.0,-18108000.0,-9302000.0,-7479000.0
Change To Operating Activities,-4259000.0,-3768000.0,5144000.0,5108000.0
Net Income,54317000.0,41109000.0,10009000.0,33578000.0
Change In Cash,45265000.0,-11728000.0,70349000.0,-33525000.0
Repurchase Of Stock,-424000.0,-10483000.0,-22000.0,-17000.0
Effect Of Exchange Rate,61000.0,-341000.0,217000.0,187000.0
Total Cash From Operating Activities,77505000.0,32929000.0,91250000.0,88093000.0
Depreciation,14362000.0,14283000.0,14790000.0,13453000.0
Dividends Paid,-11753000.0,-10072000.0,-10044000.0,-10034000.0
Change To Account Receivables,-8370000.0,38522000.0,-58355000.0,-3245000.0
Change To Netincome,4902000.0,-888000.0,63483000.0,-5829000.0
Capital Expenditures,-8283000.0,-6394000.0,-5215000.0,-7726000.0
Issuance Of Stock,,2447000.0,764000.0,3434000.0
Other Cashflows From Investing Activities,,2017000.0,463000.0,463000.0
Other Cashflows From Financing Activities,,,,-862000.0
