,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,46162000.0,-32019000.0,25802000.0,10799000.0
Total Cashflows From Investing Activities,-1031850000.0,-993726000.0,-920553000.0,-308693000.0
Net Borrowings,603105000.0,-289905000.0,334820000.0,520424000.0
Total Cash From Financing Activities,791904000.0,69876000.0,723317000.0,618785000.0
Issuance Of Stock,452332000.0,672244000.0,654968000.0,350188000.0
Net Income,124479000.0,95940000.0,117931000.0,22904000.0
Change In Cash,73655000.0,-657349000.0,111668000.0,608693000.0
Effect Of Exchange Rate,-1080000.0,48000.0,3166000.0,3440000.0
Total Cash From Operating Activities,314681000.0,266453000.0,305738000.0,295161000.0
Depreciation,195089000.0,190385000.0,177581000.0,173384000.0
Other Cashflows From Investing Activities,-11153000.0,-11153000.0,-2874000.0,2766000.0
Dividends Paid,-263359000.0,-260697000.0,-247632000.0,-242241000.0
Change To Account Receivables,-46603000.0,-21367000.0,-19493000.0,1344000.0
Other Cashflows From Financing Activities,-174000.0,-51766000.0,-18839000.0,-9586000.0
Change To Netincome,-7144000.0,30860000.0,-198000.0,84758000.0
Investments,,,,300000000.0
