,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,25000000.0,-11000000.0,-89000000.0,187000000.0
Total Cashflows From Investing Activities,-205000000.0,-394000000.0,-1589000000.0,-901000000.0
Net Borrowings,78000000.0,-411000000.0,980000000.0,238000000.0
Total Cash From Financing Activities,-358000000.0,-573000000.0,647000000.0,3000000.0
Change To Operating Activities,-11000000.0,-10000000.0,7000000.0,-10000000.0
Net Income,-383000000.0,405000000.0,545000000.0,289000000.0
Change In Cash,545000000.0,94000000.0,-168000000.0,135000000.0
Repurchase Of Stock,-318000000.0,-61000000.0,-236000000.0,-159000000.0
Effect Of Exchange Rate,-27000000.0,24000000.0,-29000000.0,17000000.0
Total Cash From Operating Activities,1135000000.0,1037000000.0,803000000.0,1016000000.0
Depreciation,473000000.0,448000000.0,423000000.0,354000000.0
Other Cashflows From Investing Activities,50000000.0,31000000.0,64000000.0,3000000.0
Dividends Paid,-104000000.0,-95000000.0,-92000000.0,-89000000.0
Change To Inventory,189000000.0,35000000.0,-216000000.0,-57000000.0
Change To Account Receivables,-109000000.0,19000000.0,39000000.0,-66000000.0
Other Cashflows From Financing Activities,-14000000.0,-6000000.0,-5000000.0,13000000.0
Change To Netincome,951000000.0,151000000.0,94000000.0,319000000.0
Capital Expenditures,-307000000.0,-447000000.0,-537000000.0,-337000000.0
