,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,346400000.0,334900000.0,328000000.0,328800000.0
Capital Surplus,1337600000.0,1318900000.0,1306900000.0,1305600000.0
Total Liab,17899800000.0,16597500000.0,16628600000.0,16174100000.0
Total Stockholder Equity,6778600000.0,6451800000.0,6186600000.0,6074600000.0
Other Current Liab,2638400000.0,2479600000.0,2401300000.0,2505000000.0
Total Assets,24678400000.0,23049300000.0,22815200000.0,22248700000.0
Common Stock,305700000.0,304700000.0,304100000.0,304000000.0
Other Current Assets,5223000000.0,4797300000.0,4654100000.0,4650000000.0
Retained Earnings,5082100000.0,4831400000.0,4394800000.0,4234900000.0
Other Liab,917700000.0,872400000.0,8811300000.0,753400000.0
Treasury Stock,53200000.0,-3200000.0,180800000.0,230100000.0
Other Assets,804200000.0,813000000.0,614900000.0,778100000.0
Cash,109200000.0,123400000.0,118700000.0,95000000.0
Total Current Liabilities,15392000000.0,14777900000.0,6664600000.0,14454500000.0
Other Stockholder Equity,53200000.0,-3200000.0,180800000.0,230100000.0
Total Current Assets,7813200000.0,7185200000.0,7116300000.0,7227100000.0
Long Term Investments,15714600000.0,14716200000.0,14580400000.0,13914700000.0
Net Tangible Assets,6778600000.0,6451800000.0,6011500000.0,6074600000.0
Short Term Investments,634100000.0,637900000.0,749600000.0,748100000.0
Net Receivables,1846900000.0,1626600000.0,1593900000.0,1734000000.0
Long Term Debt,1590100000.0,947200000.0,966400000.0,966200000.0
Accounts Payable,12141700000.0,11646800000.0,3538500000.0,11409200000.0
Good Will,,,175100000.0,
Property Plant Equipment,,,500000.0,
