,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,56306000.0,1789000.0,8444000.0,9392000.0
Capital Surplus,1280841000.0,1280760000.0,1262063000.0,1265043000.0
Total Liab,11456384000.0,10319820000.0,7627122000.0,6918839000.0
Total Stockholder Equity,140258000.0,397340000.0,353667000.0,653046000.0
Deferred Long Term Liab,600000.0,1100000.0,1500000.0,2000000.0
Other Current Liab,314179000.0,270210000.0,265003000.0,239187000.0
Total Assets,11596642000.0,10717160000.0,7980789000.0,7571885000.0
Common Stock,711000.0,756000.0,790000.0,843000.0
Other Current Assets,50658000.0,44757000.0,48262000.0,49037000.0
Retained Earnings,-1139139000.0,-889066000.0,-909186000.0,-612840000.0
Other Liab,352059000.0,304569000.0,315980000.0,293083000.0
Good Will,881030000.0,936814000.0,807260000.0,789058000.0
Treasury Stock,-2155000.0,4890000.0,,
Other Assets,9563000.0,36122000.0,9488000.0,6251000.0
Cash,465640000.0,40406000.0,31315000.0,46348000.0
Total Current Liabilities,5262417000.0,4469427000.0,3894020000.0,3647366000.0
Other Stockholder Equity,-2155000.0,4890000.0,,
Property Plant Equipment,6090045000.0,5876572000.0,3587002000.0,3343806000.0
Total Current Assets,4499787000.0,3833662000.0,3543102000.0,3397672000.0
Long Term Investments,59911000.0,32201000.0,25493000.0,25706000.0
Net Tangible Assets,-797078000.0,-541263000.0,-462037000.0,-145404000.0
Net Receivables,330294000.0,294407000.0,270181000.0,292487000.0
Long Term Debt,4123217000.0,3890527000.0,3417122000.0,2978390000.0
Inventory,3653195000.0,3454092000.0,3193344000.0,3009800000.0
Accounts Payable,4184662000.0,3604722000.0,3376403000.0,3190029000.0
