,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Intangible Assets,458000000.0,448000000.0,484000000.0,489000000.0
1,Total Liab,14111000000.0,13791000000.0,13911000000.0,13856000000.0
2,Total Stockholder Equity,-3856000000.0,-3910000000.0,-3832000000.0,-4024000000.0
3,Minority Interest,602000000.0,624000000.0,631000000.0,641000000.0
4,Other Current Liab,2882000000.0,2983000000.0,2724000000.0,2532000000.0
5,Total Assets,10857000000.0,10505000000.0,10710000000.0,10473000000.0
6,Common Stock,86000000.0,68000000.0,4000000.0,4000000.0
7,Other Current Assets,399000000.0,379000000.0,446000000.0,432000000.0
8,Retained Earnings,-2633000000.0,-2855000000.0,-3076000000.0,-3241000000.0
9,Other Liab,1552000000.0,1575000000.0,1609000000.0,1678000000.0
10,Good Will,1742000000.0,1727000000.0,1773000000.0,1700000000.0
11,Treasury Stock,-1309000000.0,-1123000000.0,-815000000.0,-819000000.0
12,Other Assets,624000000.0,671000000.0,644000000.0,744000000.0
13,Cash,1923000000.0,1725000000.0,1782000000.0,1733000000.0
14,Total Current Liabilities,6716000000.0,6395000000.0,6673000000.0,6291000000.0
15,Deferred Long Term Asset Charges,334000000.0,341000000.0,334000000.0,456000000.0
16,Other Stockholder Equity,-803000000.0,-823000000.0,-815000000.0,-819000000.0
17,Property Plant Equipment,1352000000.0,1313000000.0,1316000000.0,1269000000.0
18,Total Current Assets,6681000000.0,6346000000.0,6493000000.0,6271000000.0
19,Net Tangible Assets,-6056000000.0,-6085000000.0,-6089000000.0,-6213000000.0
20,Net Receivables,3686000000.0,3556000000.0,3606000000.0,3439000000.0
21,Long Term Debt,5457000000.0,5457000000.0,5262000000.0,5512000000.0
22,Inventory,673000000.0,686000000.0,659000000.0,667000000.0
23,Accounts Payable,1569000000.0,1459000000.0,1453000000.0,1392000000.0
24,Capital Surplus,,,55000000.0,32000000.0
0,Investments,58000000.0,-18000000.0,-18000000.0,-18000000.0
1,Change To Liabilities,95000000.0,29000000.0,1000000.0,-60000000.0
2,Total Cashflows From Investing Activities,-17000000.0,-50000000.0,-64000000.0,-147000000.0
3,Net Borrowings,-3000000.0,-143000000.0,-113000000.0,-241000000.0
4,Total Cash From Financing Activities,-342000000.0,-574000000.0,-255000000.0,-409000000.0
5,Change To Operating Activities,131000000.0,-99000000.0,38000000.0,43000000.0
6,Net Income,326000000.0,308000000.0,251000000.0,266000000.0
7,Change In Cash,199000000.0,-56000000.0,49000000.0,-175000000.0
8,Repurchase Of Stock,-206000000.0,-300000000.0,-300000000.0,-300000000.0
9,Effect Of Exchange Rate,25000000.0,-17000000.0,59000000.0,33000000.0
10,Total Cash From Operating Activities,533000000.0,585000000.0,309000000.0,348000000.0
11,Depreciation,51000000.0,51000000.0,51000000.0,48000000.0
12,Other Cashflows From Investing Activities,-8000000.0,36000000.0,10000000.0,-76000000.0
13,Dividends Paid,-102000000.0,-87000000.0,-87000000.0,-86000000.0
14,Change To Inventory,22000000.0,-39000000.0,25000000.0,-30000000.0
15,Change To Account Receivables,-143000000.0,314000000.0,-79000000.0,-9000000.0
16,Other Cashflows From Financing Activities,-31000000.0,-44000000.0,-55000000.0,-82000000.0
17,Change To Netincome,51000000.0,21000000.0,22000000.0,90000000.0
18,Capital Expenditures,-40000000.0,-44000000.0,-71000000.0,-37000000.0
