,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-1312019000.0,341302000.0,-318568000.0,-102880000.0
Change To Liabilities,0.0,0.0,0.0,76860000.0
Total Cashflows From Investing Activities,-1680979000.0,-631306000.0,-917193000.0,32741000.0
Net Borrowings,-1754008000.0,387894000.0,891400000.0,-461349000.0
Total Cash From Financing Activities,3720143000.0,300503000.0,296496000.0,-537942000.0
Change To Operating Activities,-202125000.0,-6188000.0,1377000.0,-115495000.0
Net Income,-1237574000.0,468636000.0,465339000.0,357818000.0
Change In Cash,2523037000.0,251857000.0,-12670000.0,-21233000.0
Repurchase Of Stock,-75369000.0,-162965000.0,-315542000.0,-109153000.0
Total Cash From Operating Activities,483873000.0,582660000.0,608027000.0,483968000.0
Depreciation,60159000.0,63218000.0,36303000.0,25502000.0
Other Cashflows From Investing Activities,25831000.0,324000.0,5712000.0,27805000.0
Dividends Paid,-159748000.0,-289048000.0,-288193000.0,-247403000.0
Other Cashflows From Financing Activities,5709268000.0,364622000.0,8831000.0,279963000.0
Change To Netincome,1834548000.0,32978000.0,83637000.0,118516000.0
Capital Expenditures,-59294000.0,-70100000.0,-40995000.0,-81515000.0
