,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,45000000.0,46000000.0,27000000.0,41000000.0
1,Capital Surplus,4519000000.0,4575000000.0,3589000000.0,3825000000.0
2,Total Liab,5744000000.0,4839000000.0,3777000000.0,3752000000.0
3,Total Stockholder Equity,4893000000.0,6496000000.0,5632000000.0,6011000000.0
4,Minority Interest,-50000000.0,-45000000.0,-46000000.0,-49000000.0
5,Other Current Liab,46000000.0,104000000.0,90000000.0,81000000.0
6,Total Assets,10587000000.0,11290000000.0,9363000000.0,9714000000.0
7,Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
8,Other Current Assets,69000000.0,194000000.0,97000000.0,100000000.0
9,Retained Earnings,376000000.0,1922000000.0,2047000000.0,2229000000.0
10,Other Liab,186000000.0,387000000.0,421000000.0,374000000.0
11,Treasury Stock,-4000000.0,-3000000.0,-6000000.0,-45000000.0
12,Other Assets,60000000.0,36000000.0,19000000.0,27000000.0
13,Cash,951000000.0,346000000.0,410000000.0,364000000.0
14,Total Current Liabilities,223000000.0,321000000.0,408000000.0,279000000.0
15,Deferred Long Term Asset Charges,1000000.0,8000000.0,3000000.0,6000000.0
16,Other Stockholder Equity,-4000000.0,-3000000.0,-6000000.0,-45000000.0
17,Property Plant Equipment,9422000000.0,9842000000.0,7975000000.0,8311000000.0
18,Total Current Assets,1046000000.0,724000000.0,685000000.0,645000000.0
19,Long Term Investments,14000000.0,35000000.0,50000000.0,84000000.0
20,Net Tangible Assets,4848000000.0,5843000000.0,4998000000.0,5364000000.0
21,Net Receivables,26000000.0,184000000.0,178000000.0,181000000.0
22,Long Term Debt,5120000000.0,3870000000.0,2947000000.0,2945000000.0
23,Accounts Payable,147000000.0,217000000.0,183000000.0,198000000.0
24,Good Will,,607000000.0,607000000.0,606000000.0
0,Investments,-3000000.0,51000000.0,150000000.0,18000000.0
1,Change To Liabilities,-51000000.0,-28000000.0,-21000000.0,20000000.0
2,Total Cashflows From Investing Activities,119000000.0,-635000000.0,419000000.0,-165000000.0
3,Net Borrowings,1271000000.0,618000000.0,618000000.0,-55000000.0
4,Total Cash From Financing Activities,914000000.0,97000000.0,-816000000.0,-459000000.0
5,Change To Operating Activities,-68000000.0,-2000000.0,-66000000.0,71000000.0
6,Net Income,-1440000000.0,306000000.0,472000000.0,2625000000.0
7,Change In Cash,595000000.0,-39000000.0,46000000.0,29000000.0
8,Repurchase Of Stock,-76000000.0,-7000000.0,-350000000.0,-3000000.0
9,Total Cash From Operating Activities,-438000000.0,499000000.0,444000000.0,653000000.0
10,Depreciation,298000000.0,264000000.0,277000000.0,288000000.0
11,Other Cashflows From Investing Activities,1000000.0,39000000.0,88000000.0,2000000.0
12,Dividends Paid,-241000000.0,-344000000.0,-374000000.0,-386000000.0
13,Change To Account Receivables,152000000.0,-3000000.0,-27000000.0,4000000.0
14,Other Cashflows From Financing Activities,-40000000.0,-20000000.0,-2000000.0,-15000000.0
15,Change To Netincome,662000000.0,-43000000.0,-195000000.0,-2360000000.0
16,Effect Of Exchange Rate,,,-1000000.0,-1000000.0
