Unnamed: 0,2021-01-03,2019-12-29,2018-12-30,2017-12-31
Intangible Assets,1365693000.0,1283286000.0,1199667000.0,1346940000.0
Capital Surplus,148101000.0,90357000.0,48772000.0,58828000.0
Total Liab,4224823000.0,3724740000.0,3390567000.0,3588275000.0
Total Stockholder Equity,3735492000.0,2813824000.0,2584955000.0,2503188000.0
Other Current Liab,497940000.0,207808000.0,192750000.0,181584000.0
Total Assets,7960315000.0,6538564000.0,5975522000.0,6091463000.0
Common Stock,112090000.0,111140000.0,110597000.0,110361000.0
Other Current Assets,167208000.0,100381000.0,100507000.0,93842000.0
Retained Earnings,3507262000.0,2811973000.0,2602067000.0,2380517000.0
Other Liab,774531000.0,751468000.0,742312000.0,848570000.0
Good Will,3447114000.0,3111227000.0,2952608000.0,3002198000.0
Treasury Stock,-31961000.0,-199646000.0,-176481000.0,-46518000.0
Other Assets,333048000.0,284173000.0,270023000.0,244304000.0
Cash,402036000.0,191877000.0,163111000.0,202134000.0
Total Current Liabilities,1652189000.0,762832000.0,771631000.0,950902000.0
Deferred Long Term Asset Charges,65518000.0,60004000.0,79312000.0,67280000.0
Short Long Term Debt,380948000.0,9974000.0,13356000.0,215906000.0
Other Stockholder Equity,-31961000.0,-199646000.0,-176481000.0,-46518000.0
Property Plant Equipment,575540000.0,485499000.0,318590000.0,298066000.0
Total Current Assets,2238920000.0,1374379000.0,1234634000.0,1199955000.0
Net Tangible Assets,-1077315000.0,-1580689000.0,-1567320000.0,-1845950000.0
Net Receivables,1155109000.0,725184000.0,632669000.0,552304000.0
Long Term Debt,1609701000.0,2064041000.0,1843624000.0,1754303000.0
Inventory,514567000.0,356937000.0,338347000.0,351675000.0
Accounts Payable,327325000.0,235855000.0,220949000.0,222093000.0
Investments,-20059000.0,-6387000.0,-7019000.0,-10783000.0
Change To Liabilities,62753000.0,7351000.0,8900000.0,34331000.0
Total Cashflows From Investing Activities,-504498000.0,-487573000.0,-159859000.0,-1266590000.0
Net Borrowings,-187470000.0,208871000.0,-66043000.0,822156000.0
Total Cash From Financing Activities,-202872000.0,150130000.0,-179230000.0,782236000.0
Change To Operating Activities,314534000.0,-61773000.0,-14933000.0,-17436000.0
Issuance Of Stock,37671000.0,19732000.0,24833000.0,18004000.0
Net Income,727887000.0,227558000.0,237927000.0,292633000.0
Change In Cash,210720000.0,25579000.0,-36055000.0,-174198000.0
Repurchase Of Stock,-6944000.0,-6313000.0,-57445000.0,-3834000.0
Effect Of Exchange Rate,25913000.0,-447000.0,-8004000.0,21703000.0
Total Cash From Operating Activities,892177000.0,363469000.0,311038000.0,288453000.0
Depreciation,246507000.0,214025000.0,180588000.0,105000000.0
Other Cashflows From Investing Activities,282000.0,282000.0,72000.0,309365000.0
Dividends Paid,-31212000.0,-31059000.0,-31009000.0,-30793000.0
Change To Inventory,-122513000.0,-9607000.0,-30183000.0,-17923000.0
Change To Account Receivables,-373895000.0,-100630000.0,-94512000.0,-36633000.0
Other Cashflows From Financing Activities,-14917000.0,-41101000.0,-49566000.0,-23297000.0
Change To Netincome,33513000.0,82699000.0,19910000.0,-74111000.0
Capital Expenditures,-77506000.0,-76331000.0,-93253000.0,-39089000.0
