,2021-01-31,2020-01-31,2019-01-31,2018-01-31
Change To Liabilities,92914000.0,87028000.0,68148000.0,41361000.0
Total Cashflows From Investing Activities,-15743000.0,-48506000.0,-22519000.0,-15366000.0
Net Borrowings,-8680000.0,-5444000.0,-1628000.0,-1628000.0
Total Cash From Financing Activities,27832000.0,46506000.0,279923000.0,64724000.0
Change To Operating Activities,-75474000.0,-68107000.0,-32477000.0,-21844000.0
Issuance Of Stock,36512000.0,40424000.0,308059000.0,3309000.0
Net Income,-153967000.0,-149217000.0,-131016000.0,-47554000.0
Change In Cash,11096000.0,-16969000.0,209837000.0,36121000.0
Effect Of Exchange Rate,3638000.0,-564000.0,-1714000.0,1264000.0
Total Cash From Operating Activities,-4631000.0,-14405000.0,-45853000.0,-14501000.0
Depreciation,26591000.0,24643000.0,12937000.0,7399000.0
Change To Account Receivables,-39947000.0,-16313000.0,-29276000.0,-9982000.0
Change To Netincome,102548000.0,80607000.0,54122000.0,8710000.0
Capital Expenditures,-5680000.0,-3991000.0,-15122000.0,-9565000.0
Other Cashflows From Financing Activities,,11526000.0,1914000.0,1534000.0
Repurchase Of Stock,,,-28422000.0,-28422000.0
