,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,217075000.0,233921000.0,234330000.0,235657000.0
Capital Surplus,45673000.0,29820000.0,19732000.0,12118000.0
Total Liab,2555410000.0,2424944000.0,1736205000.0,1229402000.0
Total Stockholder Equity,-705869000.0,-706455000.0,-374574000.0,-119486000.0
Minority Interest,196000.0,-1299000.0,-8215000.0,-17451000.0
Other Current Liab,33421000.0,58333000.0,56591000.0,57607000.0
Total Assets,1849737000.0,1717190000.0,1353416000.0,1092465000.0
Common Stock,9000.0,9000.0,10000.0,10000.0
Other Current Assets,78332000.0,42539000.0,30708000.0,499000.0
Retained Earnings,-751578000.0,-736587000.0,-394410000.0,-130966000.0
Other Liab,523852000.0,438708000.0,444675000.0,420796000.0
Good Will,227821000.0,227821000.0,199513000.0,176981000.0
Treasury Stock,27000.0,303000.0,94000.0,-648000.0
Other Assets,513096000.0,414196000.0,416666000.0,419159000.0
Cash,439478000.0,436256000.0,289431000.0,113080000.0
Total Current Liabilities,111895000.0,145478000.0,131403000.0,112030000.0
Deferred Long Term Asset Charges,511200000.0,412293000.0,414841000.0,407782000.0
Short Long Term Debt,17500000.0,17500000.0,12000000.0,7185000.0
Other Stockholder Equity,27000.0,303000.0,94000.0,-648000.0
Property Plant Equipment,324929000.0,301114000.0,114367000.0,83327000.0
Total Current Assets,566816000.0,540138000.0,388540000.0,177001000.0
Net Tangible Assets,-1150765000.0,-1168197000.0,-808417000.0,-532124000.0
Net Receivables,36652000.0,52441000.0,58332000.0,56801000.0
Long Term Debt,1751426000.0,1687505000.0,1160127000.0,696576000.0
Inventory,473000.0,877000.0,5122000.0,2692000.0
Accounts Payable,19388000.0,21267000.0,30428000.0,28648000.0
Long Term Investments,,,,340000.0
