,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,51000000.0,-67000000.0,428000000.0,142000000.0
Total Cashflows From Investing Activities,-183000000.0,55000000.0,-586000000.0,-434000000.0
Net Borrowings,-406000000.0,-1681000000.0,1572000000.0,-487000000.0
Total Cash From Financing Activities,-2474000000.0,-3649000000.0,-465000000.0,-2528000000.0
Change To Operating Activities,1168000000.0,-2108000000.0,1147000000.0,-246000000.0
Net Income,2172000000.0,2418000000.0,1976000000.0,2307000000.0
Change In Cash,1014000000.0,-3379000000.0,2458000000.0,620000000.0
Effect Of Exchange Rate,41000000.0,-220000000.0,347000000.0,-32000000.0
Total Cash From Operating Activities,3630000000.0,435000000.0,3162000000.0,3614000000.0
Depreciation,239000000.0,245000000.0,272000000.0,239000000.0
Other Cashflows From Investing Activities,-28000000.0,234000000.0,-402000000.0,-282000000.0
Dividends Paid,-1873000000.0,-1879000000.0,-1879000000.0,-1827000000.0
Change To Inventory,462000000.0,305000000.0,-988000000.0,843000000.0
Change To Account Receivables,-200000000.0,-427000000.0,167000000.0,197000000.0
Other Cashflows From Financing Activities,-195000000.0,-89000000.0,-158000000.0,-214000000.0
Change To Netincome,106000000.0,160000000.0,239000000.0,80000000.0
Capital Expenditures,-128000000.0,-179000000.0,-140000000.0,-152000000.0
Investments,,,-44000000.0,-44000000.0
