,2021-06-27,2021-03-28,2020-12-27,2020-09-27
Change To Liabilities,506670000.0,-240183000.0,202213000.0,215305000.0
Total Cashflows From Investing Activities,-73266000.0,-89093000.0,-101898000.0,-82607000.0
Net Borrowings,-97181000.0,93640000.0,-356399000.0,-6509000.0
Total Cash From Financing Activities,-105831000.0,92990000.0,-358835000.0,-36436000.0
Change To Operating Activities,-25391000.0,8215000.0,-32070000.0,-6366000.0
Net Income,-166687000.0,100208000.0,79000.0,33446000.0
Change In Cash,79777000.0,-138166000.0,-236730000.0,250663000.0
Effect Of Exchange Rate,371000.0,1488000.0,8091000.0,2097000.0
Total Cash From Operating Activities,258503000.0,-143551000.0,215912000.0,367609000.0
Depreciation,95728000.0,86532000.0,88463000.0,84265000.0
Change To Inventory,-91397000.0,-82550000.0,-15251000.0,24942000.0
Change To Account Receivables,-62718000.0,-54892000.0,-15461000.0,14695000.0
Other Cashflows From Financing Activities,-8650000.0,-8650000.0,-8650000.0,-8650000.0
Change To Netincome,-20393000.0,12218000.0,-4951000.0,3381000.0
Capital Expenditures,-81577000.0,-102167000.0,-112159000.0,-94428000.0
Repurchase Of Stock,,-650000.0,-2436000.0,-29927000.0
