,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,16000000.0,-42000000.0,45000000.0,63000000.0
Total Cashflows From Investing Activities,9711000000.0,-735000000.0,-900000000.0,-785000000.0
Net Borrowings,-3276000000.0,384000000.0,687000000.0,-394000000.0
Total Cash From Financing Activities,-3531000000.0,-71000000.0,353000000.0,-712000000.0
Change To Operating Activities,109000000.0,-155000000.0,-211000000.0,102000000.0
Net Income,19000000.0,-1840000000.0,290000000.0,281000000.0
Change In Cash,7208000000.0,-21000000.0,-42000000.0,-532000000.0
Repurchase Of Stock,-1000000.0,-1000000.0,-1000000.0,-1000000.0
Total Cash From Operating Activities,858000000.0,663000000.0,499000000.0,948000000.0
Depreciation,298000000.0,278000000.0,353000000.0,341000000.0
Other Cashflows From Investing Activities,10209000000.0,-264000000.0,-6000000.0,-6000000.0
Dividends Paid,-320000000.0,-320000000.0,-319000000.0,-320000000.0
Change To Inventory,-41000000.0,41000000.0,-9000000.0,-14000000.0
Change To Account Receivables,37000000.0,16000000.0,-158000000.0,-31000000.0
Other Cashflows From Financing Activities,66000000.0,-136000000.0,-17000000.0,3000000.0
Change To Netincome,228000000.0,2365000000.0,189000000.0,206000000.0
Capital Expenditures,-498000000.0,-471000000.0,-901000000.0,-772000000.0
Issuance Of Stock,,1000000.0,2000000.0,2000000.0
Effect Of Exchange Rate,,8000000.0,6000000.0,17000000.0
Investments,,,7000000.0,-7000000.0
