,Unnamed: 0,2021-06-30,2020-06-30,2019-06-30,2018-06-30
0,Intangible Assets,247900000.0,16000000.0,19500000.0,24500000.0
1,Capital Surplus,2618900000.0,2361800000.0,90700000.0,20500000.0
2,Total Liab,2731500000.0,1303800000.0,462000000.0,180500000.0
3,Total Stockholder Equity,1754100000.0,1678000000.0,-538600000.0,-315600000.0
4,Other Current Liab,546700000.0,516200000.0,103600000.0,109300000.0
5,Total Assets,4485600000.0,2981800000.0,864500000.0,271200000.0
6,Retained Earnings,-883000000.0,-693900000.0,-629500000.0,-336100000.0
7,Other Liab,38300000.0,23400000.0,171200000.0,10300000.0
8,Good Will,210100000.0,39100000.0,4300000.0,4200000.0
9,Treasury Stock,18200000.0,10100000.0,200000.0,
10,Other Assets,37500000.0,33300000.0,9300000.0,2600000.0
11,Cash,1134800000.0,1035500000.0,162100000.0,150600000.0
12,Total Current Liabilities,1243000000.0,772200000.0,290800000.0,170200000.0
13,Other Stockholder Equity,18200000.0,10100000.0,200000.0,
14,Property Plant Equipment,1172000000.0,734800000.0,249700000.0,36200000.0
15,Total Current Assets,2818100000.0,2158600000.0,581700000.0,203700000.0
16,Net Tangible Assets,1296100000.0,1622900000.0,-562400000.0,-344300000.0
17,Short Term Investments,472000000.0,719500000.0,216000000.0,
18,Net Receivables,71400000.0,34600000.0,18500000.0,9400000.0
19,Long Term Debt,829800000.0,,,
20,Inventory,937100000.0,244500000.0,136600000.0,25300000.0
21,Accounts Payable,364400000.0,135800000.0,92200000.0,28100000.0
22,Other Current Assets,,,100000.0,
0,Investments,223500000.0,-539900000.0,-213800000.0,-213800000.0
1,Change To Liabilities,439800000.0,133400000.0,117300000.0,41000000.0
2,Total Cashflows From Investing Activities,-585100000.0,-741300000.0,-297500000.0,-56700000.0
3,Net Borrowings,976400000.0,976400000.0,976400000.0,-3100000.0
4,Total Cash From Financing Activities,916800000.0,1240200000.0,417200000.0,3100000.0
5,Change To Operating Activities,-268300000.0,217000000.0,-19800000.0,54200000.0
6,Issuance Of Stock,75600000.0,1240100000.0,9300000.0,7400000.0
7,Net Income,-189000000.0,-71600000.0,-195600000.0,-47900000.0
8,Change In Cash,98700000.0,874000000.0,11300000.0,-3900000.0
9,Repurchase Of Stock,-53900000.0,-53900000.0,-130300000.0,-130300000.0
10,Effect Of Exchange Rate,6700000.0,-1200000.0,200000.0,200000.0
11,Total Cash From Operating Activities,-239700000.0,376400000.0,-108600000.0,49700000.0
12,Depreciation,55100000.0,33400000.0,18400000.0,5400000.0
13,Other Cashflows From Investing Activities,-100000.0,100000.0,100000.0,100000.0
14,Change To Inventory,-587200000.0,-96800000.0,-111300000.0,-9600000.0
15,Change To Account Receivables,15100000.0,11300000.0,-9100000.0,-4100000.0
16,Other Cashflows From Financing Activities,-81300000.0,100000.0,-900000.0,-1200000.0
17,Change To Netincome,273100000.0,142300000.0,87900000.0,9500000.0
18,Capital Expenditures,-241000000.0,-153000000.0,-83000000.0,-28000000.0
