,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,667273000.0,695937000.0,726194000.0,769902000.0
Capital Surplus,1799414000.0,1789805000.0,1834169000.0,1805275000.0
Total Liab,2929605000.0,2912834000.0,3114691000.0,3060344000.0
Total Stockholder Equity,2977872000.0,2849776000.0,2797839000.0,2711133000.0
Other Current Liab,106842000.0,100376000.0,268831000.0,433948000.0
Total Assets,5907477000.0,5762610000.0,5912530000.0,5771477000.0
Common Stock,2702000.0,2702000.0,2702000.0,2702000.0
Other Current Assets,30914000.0,21992000.0,101355000.0,273491000.0
Retained Earnings,1537485000.0,1430528000.0,1323091000.0,1271964000.0
Other Liab,475848000.0,475612000.0,516401000.0,547441000.0
Good Will,2332697000.0,2335270000.0,2364031000.0,2313246000.0
Treasury Stock,-361729000.0,-373259000.0,-362123000.0,-368808000.0
Other Assets,475006000.0,476584000.0,468611000.0,547661000.0
Cash,759047000.0,787786000.0,597984000.0,465352000.0
Total Current Liabilities,503117000.0,499384000.0,615086000.0,1090625000.0
Deferred Long Term Asset Charges,77456000.0,54423000.0,54879000.0,49176000.0
Other Stockholder Equity,-260966000.0,-266245000.0,-243822000.0,-292934000.0
Property Plant Equipment,599991000.0,563917000.0,661894000.0,506308000.0
Total Current Assets,1802195000.0,1665550000.0,1667316000.0,1587699000.0
Long Term Investments,30315000.0,25352000.0,24484000.0,46661000.0
Net Tangible Assets,-22098000.0,-181431000.0,-292386000.0,-372015000.0
Short Term Investments,138974000.0,3946000.0,117249000.0,36602000.0
Net Receivables,376651000.0,379694000.0,498388000.0,448493000.0
Long Term Debt,1950640000.0,1937838000.0,1897619000.0,1422278000.0
Inventory,341041000.0,316280000.0,291181000.0,254642000.0
Accounts Payable,103004000.0,103471000.0,118153000.0,90859000.0
Short Long Term Debt,,,42539000.0,311196000.0
