,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,91413000.0,-25642000.0,43596000.0,39701000.0
Total Cashflows From Investing Activities,-307446000.0,-225962000.0,-116578000.0,7847000.0
Net Borrowings,-143179000.0,-245080000.0,-851577000.0,-731581000.0
Total Cash From Financing Activities,-180874000.0,-298097000.0,-903463000.0,-758447000.0
Change To Operating Activities,41321000.0,-83917000.0,-114534000.0,-3816000.0
Issuance Of Stock,20552000.0,20552000.0,20552000.0,2760000.0
Net Income,149105000.0,50825000.0,25628000.0,35834000.0
Change In Cash,176254000.0,-59556000.0,-532954000.0,-147221000.0
Repurchase Of Stock,-29534000.0,-19444000.0,-21257000.0,-38000.0
Effect Of Exchange Rate,-1167000.0,-1202000.0,2266000.0,5888000.0
Total Cash From Operating Activities,665741000.0,465705000.0,484821000.0,597491000.0
Depreciation,433929000.0,432926000.0,414638000.0,543080000.0
Other Cashflows From Investing Activities,-2283000.0,-1412000.0,-1000000.0,52000.0
Dividends Paid,-29569000.0,-31257000.0,-29364000.0,-29517000.0
Change To Inventory,-2492000.0,1070000.0,-405000.0,1819000.0
Change To Account Receivables,-100722000.0,-4597000.0,-12002000.0,-62566000.0
Other Cashflows From Financing Activities,856000.0,-2316000.0,-1265000.0,-71000.0
Change To Netincome,53187000.0,95040000.0,127900000.0,43439000.0
Capital Expenditures,-347215000.0,-226907000.0,-118994000.0,2108000.0
