,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-100609000.0,-25569000.0,-13957000.0,-10396000.0
Change To Liabilities,-133815000.0,75281000.0,91737000.0,36780000.0
Total Cashflows From Investing Activities,-2178566000.0,-3091406000.0,-4489158000.0,-213592000.0
Net Borrowings,8630237000.0,92749000.0,2392065000.0,-1968121000.0
Total Cash From Financing Activities,9349788000.0,-670371000.0,1198073000.0,-2675796000.0
Change To Operating Activities,-1345585000.0,387838000.0,375930000.0,331082000.0
Issuance Of Stock,1431375000.0,1431375000.0,1431375000.0,2525000.0
Net Income,-5797462000.0,1878887000.0,1811042000.0,1625133000.0
Change In Cash,3440736000.0,-44114000.0,167740000.0,-12491000.0
Effect Of Exchange Rate,1167000.0,1297000.0,-20314000.0,2331000.0
Total Cash From Operating Activities,-3731653000.0,3716366000.0,3479139000.0,2874566000.0
Depreciation,1279254000.0,1245942000.0,1033697000.0,951194000.0
Other Cashflows From Investing Activities,-140622000.0,-41174000.0,100962000.0,130942000.0
Dividends Paid,-326421000.0,-602674000.0,-527494000.0,-437455000.0
Change To Inventory,27077000.0,-8533000.0,-23849000.0,2424000.0
Change To Account Receivables,121055000.0,-9898000.0,-9573000.0,-32043000.0
Other Cashflows From Financing Activities,-385403000.0,-60864000.0,-91459000.0,-47747000.0
Change To Netincome,1961605000.0,83242000.0,147173000.0,-85947000.0
Capital Expenditures,-1965131000.0,-3024663000.0,-3660028000.0,-564138000.0
Repurchase Of Stock,,-99582000.0,-575039000.0,-224998000.0
