,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-19315000.0,-3228000.0,-59591000.0,13074000.0
Change To Liabilities,997000.0,4175000.0,-760000.0,-2114000.0
Total Cashflows From Investing Activities,-25641000.0,-282693000.0,-106024000.0,-1007230000.0
Net Borrowings,537000.0,183449000.0,113250000.0,1186183000.0
Total Cash From Financing Activities,-210589000.0,-268206000.0,-508494000.0,568948000.0
Change To Operating Activities,-11823000.0,-7518000.0,2017000.0,-7640000.0
Issuance Of Stock,125877000.0,9000.0,99000.0,88558000.0
Net Income,44889000.0,239430000.0,249127000.0,176077000.0
Change In Cash,262888000.0,70372000.0,-4191000.0,31502000.0
Repurchase Of Stock,-5512000.0,-38982000.0,-220623000.0,-18649000.0
Total Cash From Operating Activities,499118000.0,621271000.0,610327000.0,469784000.0
Depreciation,305360000.0,330416000.0,326358000.0,311057000.0
Other Cashflows From Investing Activities,1901000.0,5544000.0,14602000.0,-7028000.0
Dividends Paid,-300537000.0,-390598000.0,-375978000.0,-327679000.0
Change To Account Receivables,16944000.0,-4690000.0,-26374000.0,-26081000.0
Other Cashflows From Financing Activities,-30954000.0,-22084000.0,-25242000.0,-34465000.0
Change To Netincome,133728000.0,48288000.0,49483000.0,8976000.0
