,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-2441433000.0,-2708330000.0,-2539113000.0,-122434000.0
Change To Liabilities,232949000.0,51343000.0,238412000.0,246036000.0
Total Cashflows From Investing Activities,-2304689000.0,-2988644000.0,-2536613000.0,-122434000.0
Net Borrowings,-250000000.0,396411000.0,396411000.0,45866000.0
Total Cash From Financing Activities,665214000.0,1120117000.0,1066340000.0,28860000.0
Change To Operating Activities,1832490000.0,2034393000.0,767419000.0,1574743000.0
Issuance Of Stock,1095507000.0,1095507000.0,250000000.0,250000000.0
Net Income,762405000.0,748798000.0,227364000.0,-222389000.0
Change In Cash,357745000.0,271146000.0,-253670000.0,940435000.0
Repurchase Of Stock,-74951000.0,-7253000.0,-7862000.0,-203730000.0
Effect Of Exchange Rate,4485000.0,2478000.0,-5098000.0,8222000.0
Total Cash From Operating Activities,1992735000.0,2137195000.0,1221701000.0,1025787000.0
Depreciation,16652000.0,-58964000.0,123000.0,31242000.0
Other Cashflows From Investing Activities,136744000.0,-4108000.0,2500000.0,2500000.0
Dividends Paid,-99413000.0,-96124000.0,-82929000.0,-73751000.0
Change To Account Receivables,-293581000.0,-424973000.0,-232566000.0,-317299000.0
Other Cashflows From Financing Activities,119071000.0,827083000.0,657131000.0,260475000.0
Change To Netincome,-558180000.0,-213402000.0,220949000.0,-286546000.0
