,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,1130502000.0,1035021000.0,672149000.0,954783000.0
Capital Surplus,1153881000.0,1450627000.0,1623206000.0,1615328000.0
Total Liab,21852730000.0,21748190000.0,19872013000.0,20217702000.0
Total Stockholder Equity,6692606000.0,6553337000.0,7035248000.0,6865821000.0
Minority Interest,3656419000.0,3409570000.0,3388319000.0,3387317000.0
Other Current Liab,4298609000.0,3857125000.0,2785392000.0,3283315000.0
Total Assets,32726755000.0,32236097000.0,30820580000.0,30995840000.0
Common Stock,48026000.0,49970000.0,50811000.0,50810000.0
Other Current Assets,3253049000.0,3241140000.0,3037808000.0,2960592000.0
Retained Earnings,5504760000.0,5065122000.0,5373873000.0,5201766000.0
Other Liab,185768000.0,409973000.0,8369380000.0,383982000.0
Treasury Stock,-14061000.0,-12382000.0,-12642000.0,-2083000.0
Other Assets,187494000.0,297800000.0,270137000.0,299843000.0
Cash,1789756000.0,1286661000.0,1736813000.0,1287378000.0
Total Current Liabilities,20529658000.0,20201434000.0,10324479000.0,18697980000.0
Short Long Term Debt,1281000.0,2494000.0,567000.0,353000.0
Other Stockholder Equity,-14061000.0,-12382000.0,-12642000.0,-2083000.0
Total Current Assets,29731785000.0,29432858000.0,28264160000.0,28519541000.0
Long Term Investments,1676974000.0,1470418000.0,1355321000.0,1221673000.0
Net Tangible Assets,6446030000.0,6305257000.0,6785607000.0,6608384000.0
Short Term Investments,4392652000.0,5091143000.0,4993735000.0,5158961000.0
Net Receivables,4938950000.0,4769278000.0,3462924000.0,4090056000.0
Long Term Debt,1137304000.0,1136783000.0,1136265000.0,1135740000.0
Accounts Payable,16229768000.0,16341815000.0,7527609000.0,15414312000.0
Good Will,,,211013000.0,
Deferred Long Term Asset Charges,,,49264000.0,
Property Plant Equipment,,,47800000.0,
