,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Intangible Assets,512800000.0,527100000.0,540300000.0,479300000.0
1,Capital Surplus,1909000000.0,1887400000.0,1856300000.0,1830700000.0
2,Total Liab,5995000000.0,6189000000.0,6297200000.0,5917900000.0
3,Total Stockholder Equity,2269600000.0,1817200000.0,1557600000.0,1027800000.0
4,Minority Interest,308500000.0,311500000.0,316200000.0,319000000.0
5,Other Current Liab,996800000.0,847300000.0,888300000.0,738300000.0
6,Total Assets,8573100000.0,8317700000.0,8171000000.0,7264700000.0
7,Common Stock,181400000.0,181400000.0,181400000.0,181400000.0
8,Other Current Assets,206300000.0,187200000.0,181400000.0,147500000.0
9,Retained Earnings,7921900000.0,7899300000.0,7608800000.0,7139800000.0
10,Other Liab,1293400000.0,1794100000.0,1860100000.0,1857700000.0
11,Good Will,1916000000.0,1895000000.0,1902200000.0,1650300000.0
12,Treasury Stock,-7742700000.0,-8150900000.0,-8088900000.0,-8124100000.0
13,Other Assets,378900000.0,492900000.0,541400000.0,578500000.0
14,Cash,913800000.0,641900000.0,730400000.0,704600000.0
15,Total Current Liabilities,2456300000.0,2139800000.0,2188600000.0,1810800000.0
16,Deferred Long Term Asset Charges,180400000.0,300700000.0,351500000.0,415600000.0
17,Other Stockholder Equity,-1075000000.0,-1526000000.0,-1527300000.0,-1614200000.0
18,Property Plant Equipment,889800000.0,898300000.0,909100000.0,917300000.0
19,Total Current Assets,3286200000.0,2969500000.0,2932100000.0,2685800000.0
20,Long Term Investments,1589400000.0,1534900000.0,1345900000.0,953500000.0
21,Net Tangible Assets,-159200000.0,-604900000.0,-884900000.0,-1101800000.0
22,Short Term Investments,600000.0,600000.0,700000.0,600000.0
23,Net Receivables,1431100000.0,1458700000.0,1379000000.0,1249100000.0
24,Long Term Debt,1977100000.0,1978400000.0,1980300000.0,1974700000.0
25,Inventory,734400000.0,681100000.0,640600000.0,584000000.0
26,Accounts Payable,890200000.0,806200000.0,721100000.0,687800000.0
0,Investments,-8500000.0,-8500000.0,-8500000.0,-8500000.0
1,Change To Liabilities,92400000.0,110400000.0,72300000.0,5500000.0
2,Total Cashflows From Investing Activities,-35500000.0,-26600000.0,-310100000.0,-26900000.0
3,Net Borrowings,400000.0,-124900000.0,125900000.0,-399100000.0
4,Total Cash From Financing Activities,-163700000.0,-301900000.0,-37200000.0,-490600000.0
5,Change To Operating Activities,79000000.0,27900000.0,50400000.0,20500000.0
6,Issuance Of Stock,25700000.0,48100000.0,48900000.0,27000000.0
7,Net Income,271300000.0,415000000.0,593300000.0,262700000.0
8,Change In Cash,271900000.0,-88500000.0,25800000.0,-179400000.0
9,Repurchase Of Stock,-61600000.0,-93400000.0,-83500000.0,-83500000.0
10,Effect Of Exchange Rate,9600000.0,-8900000.0,26600000.0,12300000.0
11,Total Cash From Operating Activities,461500000.0,248900000.0,346500000.0,325800000.0
12,Depreciation,45800000.0,45900000.0,44000000.0,34800000.0
13,Other Cashflows From Investing Activities,-2700000.0,-1800000.0,-1800000.0,-1800000.0
14,Dividends Paid,-124200000.0,-124400000.0,-124300000.0,-118500000.0
15,Change To Inventory,-44900000.0,-48100000.0,-40300000.0,71800000.0
16,Change To Account Receivables,42100000.0,-100300000.0,-85500000.0,-19500000.0
17,Other Cashflows From Financing Activities,-4000000.0,-7300000.0,-4200000.0,-4200000.0
18,Change To Netincome,18000000.0,-162400000.0,-360500000.0,-130200000.0
19,Capital Expenditures,-24500000.0,-25000000.0,-27100000.0,-22000000.0
