,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Intangible Assets,210677000.0,183855000.0,70081000.0,65737000.0
1,Capital Surplus,2743629000.0,2697380000.0,1660379000.0,1616045000.0
2,Total Liab,1077530000.0,1045833000.0,942527000.0,887635000.0
3,Total Stockholder Equity,2561028000.0,2441312000.0,1328015000.0,1216375000.0
4,Other Current Liab,73445000.0,137937000.0,61630000.0,62375000.0
5,Total Assets,3638558000.0,3487145000.0,2270542000.0,2104010000.0
6,Common Stock,13000.0,13000.0,13000.0,13000.0
7,Other Current Assets,15300000.0,81483000.0,434000.0,4846000.0
8,Retained Earnings,-182643000.0,-256110000.0,-332406000.0,-399712000.0
9,Other Liab,44306000.0,27160000.0,24402000.0,19802000.0
10,Good Will,146784000.0,125684000.0,73058000.0,73058000.0
11,Treasury Stock,29000.0,29000.0,29000.0,29000.0
12,Other Assets,22372000.0,7977000.0,8369000.0,6392000.0
13,Cash,2083273000.0,2077514000.0,1092815000.0,1047478000.0
14,Total Current Liabilities,611348000.0,628116000.0,520321000.0,465674000.0
15,Short Long Term Debt,7377000.0,6125000.0,4874000.0,4872000.0
16,Other Stockholder Equity,29000.0,29000.0,29000.0,29000.0
17,Property Plant Equipment,459493000.0,420238000.0,421394000.0,425728000.0
18,Total Current Assets,2799232000.0,2749391000.0,1697640000.0,1533095000.0
19,Net Tangible Assets,2203567000.0,2131773000.0,1184876000.0,1077580000.0
20,Net Receivables,625196000.0,524857000.0,531283000.0,398086000.0
21,Long Term Debt,84928000.0,87398000.0,89868000.0,91087000.0
22,Inventory,47996000.0,41246000.0,53895000.0,62609000.0
23,Accounts Payable,132483000.0,96468000.0,112314000.0,121761000.0
0,Change To Liabilities,35935000.0,-29828000.0,-54255000.0,49047000.0
1,Total Cashflows From Investing Activities,-44155000.0,-106521000.0,-6370000.0,-11903000.0
2,Net Borrowings,-1250000.0,-1250000.0,-1250000.0,-1250000.0
3,Total Cash From Financing Activities,2330000.0,995070000.0,4350000.0,151712000.0
4,Change To Operating Activities,-42487000.0,-62321000.0,97727000.0,5518000.0
5,Issuance Of Stock,3580000.0,996320000.0,5600000.0,152962000.0
6,Net Income,73467000.0,76296000.0,67306000.0,12947000.0
7,Change In Cash,7136000.0,984348000.0,45025000.0,160860000.0
8,Total Cash From Operating Activities,48961000.0,95799000.0,47045000.0,21051000.0
9,Depreciation,36603000.0,25881000.0,20721000.0,20743000.0
10,Change To Inventory,-6750000.0,12649000.0,8714000.0,-17608000.0
11,Change To Account Receivables,-89269000.0,32608000.0,-133279000.0,-84139000.0
12,Change To Netincome,41462000.0,40514000.0,39611000.0,34543000.0
13,Capital Expenditures,-10181000.0,-3717000.0,-6370000.0,-11903000.0
