,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,178500000.0,96600000.0,155400000.0,148200000.0
Total Cashflows From Investing Activities,-6073900000.0,-1296000000.0,-1335100000.0,-209600000.0
Net Borrowings,4320000000.0,335000000.0,-205000000.0,-1060000000.0
Total Cash From Financing Activities,4136900000.0,177000000.0,-388100000.0,-1170000000.0
Change To Operating Activities,-201900000.0,-39400000.0,-39400000.0,-18900000.0
Issuance Of Stock,74900000.0,41700000.0,16000000.0,32700000.0
Net Income,949700000.0,1767900000.0,944400000.0,971800000.0
Change In Cash,-401400000.0,345300000.0,-306900000.0,-85900000.0
Effect Of Exchange Rate,10500000.0,2500000.0,-13800000.0,59200000.0
Total Cash From Operating Activities,1525100000.0,1461800000.0,1430100000.0,1234500000.0
Depreciation,520800000.0,416000000.0,367000000.0,345000000.0
Other Cashflows From Investing Activities,-2600000.0,-2600000.0,-700000.0,-6900000.0
Dividends Paid,-214100000.0,-191700000.0,-170100000.0,-142800000.0
Change To Inventory,4600000.0,-17300000.0,-21800000.0,-15300000.0
Change To Account Receivables,14000000.0,-58700000.0,-97500000.0,-20200000.0
Other Cashflows From Financing Activities,-43900000.0,-8000000.0,-29000000.0,100000.0
Change To Netincome,361700000.0,-379100000.0,397900000.0,73700000.0
Capital Expenditures,-31200000.0,-52700000.0,-49100000.0,-48800000.0
