,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,43000000.0,217900000.0,-6200000.0,19200000.0
Total Cashflows From Investing Activities,-70900000.0,-27700000.0,-60700000.0,-31300000.0
Total Cash From Financing Activities,-66000000.0,-56400000.0,-88100000.0,98700000.0
Change To Operating Activities,36200000.0,-4100000.0,-2500000.0,26400000.0
Net Income,329100000.0,266900000.0,129600000.0,97600000.0
Change In Cash,-32700000.0,76800000.0,91900000.0,368900000.0
Repurchase Of Stock,-24000000.0,-24000000.0,-37100000.0,-200000.0
Effect Of Exchange Rate,2600000.0,-900000.0,10500000.0,5200000.0
Total Cash From Operating Activities,101600000.0,161800000.0,230200000.0,296300000.0
Depreciation,58500000.0,56900000.0,56500000.0,56400000.0
Other Cashflows From Investing Activities,3700000.0,-4600000.0,-23200000.0,6900000.0
Dividends Paid,-43800000.0,-44800000.0,-43400000.0,-39800000.0
Change To Inventory,-167400000.0,-50400000.0,5600000.0,71400000.0
Change To Account Receivables,-222100000.0,-346200000.0,22400000.0,-21600000.0
Other Cashflows From Financing Activities,1800000.0,-10800000.0,-7400000.0,-18300000.0
Change To Netincome,24300000.0,20800000.0,24800000.0,46900000.0
Capital Expenditures,-80100000.0,-43700000.0,-37300000.0,-38200000.0
Net Borrowings,,-800000.0,-200000.0,157000000.0
