,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-65356000.0,-65356000.0,-65356000.0,-65356000.0
Change To Liabilities,-4201000.0,205778000.0,36241000.0,88549000.0
Total Cashflows From Investing Activities,-497789000.0,-843255000.0,-811316000.0,-777319000.0
Net Borrowings,341332000.0,491150000.0,671007000.0,385428000.0
Total Cash From Financing Activities,1160740000.0,1106572000.0,936386000.0,890849000.0
Change To Operating Activities,-127339000.0,-39549000.0,-60638000.0,-42414000.0
Issuance Of Stock,123664000.0,16196000.0,12592000.0,1035000.0
Net Income,-173394000.0,26335000.0,26657000.0,125489000.0
Change In Cash,344979000.0,58830000.0,62609000.0,17427000.0
Total Cash From Operating Activities,-317972000.0,-204487000.0,-62461000.0,-96103000.0
Depreciation,242942000.0,187163000.0,156007000.0,128687000.0
Change To Inventory,47554000.0,-181104000.0,14960000.0,-27101000.0
Change To Account Receivables,4988000.0,-14864000.0,-5707000.0,-9409000.0
Other Cashflows From Financing Activities,695744000.0,604226000.0,252787000.0,504386000.0
Change To Netincome,-308522000.0,-388246000.0,-229981000.0,-359904000.0
Capital Expenditures,-969675000.0,-840533000.0,-811316000.0,-777319000.0
Repurchase Of Stock,,-5000000.0,-5000000.0,-5000000.0
