,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-49499000.0,-13156000.0,-6093000.0,-166000.0
Change To Liabilities,13173000.0,-5951000.0,-3021000.0,3555000.0
Total Cashflows From Investing Activities,-446366000.0,-947158000.0,-618347000.0,-605107000.0
Net Borrowings,722236000.0,373458000.0,591684000.0,510872000.0
Total Cash From Financing Activities,-469017000.0,-62314000.0,-148537000.0,-294574000.0
Change To Operating Activities,-2655000.0,13626000.0,-14459000.0,-12332000.0
Issuance Of Stock,54049000.0,116202000.0,59880000.0,54950000.0
Net Income,24104000.0,146991000.0,47451000.0,103654000.0
Change In Cash,201688000.0,-37180000.0,74005000.0,-81675000.0
Repurchase Of Stock,-859335000.0,-466982000.0,-795581000.0,-854534000.0
Effect Of Exchange Rate,-8962000.0,2247000.0,-9729000.0,-464000.0
Total Cash From Operating Activities,1126033000.0,970045000.0,850618000.0,818470000.0
Depreciation,721970000.0,697078000.0,672113000.0,643100000.0
Other Cashflows From Investing Activities,3117000.0,-5809000.0,-10613000.0,-16350000.0
Dividends Paid,-207689000.0,-83387000.0,-83387000.0,-83387000.0
Change To Account Receivables,38195000.0,-12146000.0,-29427000.0,-20893000.0
Other Cashflows From Financing Activities,-178278000.0,-1605000.0,-4520000.0,-5862000.0
Change To Netincome,311188000.0,110089000.0,157672000.0,79446000.0
Capital Expenditures,-128566000.0,-154236000.0,-149812000.0,-147044000.0
