,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Capital Surplus,3084743000.0,3072926000.0,2583514000.0,1862142000.0
1,Total Liab,90043238000.0,78739791000.0,68061435000.0,58777114000.0
2,Total Stockholder Equity,6844556000.0,6642396000.0,5826902000.0,4983199000.0
3,Total Assets,96887801000.0,85382194000.0,73888344000.0,63760313000.0
4,Common Stock,577000.0,578000.0,555000.0,555000.0
5,Other Current Assets,856405000.0,636358000.0,685164000.0,670096000.0
6,Retained Earnings,3871125000.0,3698195000.0,3548260000.0,3405273000.0
7,Other Liab,15300000.0,,27600000.0,17800000.0
8,Treasury Stock,-111889000.0,-129303000.0,-305427000.0,-284771000.0
9,Other Assets,54559005000.0,51274635000.0,49099529000.0,46508254000.0
10,Cash,24979970000.0,19748309000.0,12348331000.0,6413237000.0
11,Total Current Liabilities,86441068000.0,74876330000.0,66071833000.0,55214371000.0
12,Short Long Term Debt,150000000.0,150000000.0,2100000000.0,150000000.0
13,Other Stockholder Equity,-111889000.0,-129303000.0,-72896000.0,-52124000.0
14,Property Plant Equipment,313529000.0,320976000.0,317681000.0,295681000.0
15,Total Current Assets,25882029000.0,20384667000.0,13103055000.0,7176066000.0
16,Long Term Investments,16133238000.0,13401916000.0,11368079000.0,9780312000.0
17,Net Tangible Assets,6844556000.0,6642396000.0,5826902000.0,4983199000.0
18,Long Term Debt,3333764000.0,3593372000.0,1717833000.0,3296401000.0
19,Inventory,21233000.0,,34466000.0,45645000.0
20,Accounts Payable,85562476000.0,73974579000.0,63315323000.0,54338705000.0
0,Net Income,214493000.0,190533000.0,173009000.0,138550000.0
1,Change To Liabilities,0.0,0.0,0.0,0.0
2,Investments,,,-1488485000.0,-494422000.0
3,Total Cashflows From Investing Activities,,,-4139865000.0,-1489905000.0
4,Net Borrowings,,,375001000.0,-1045000000.0
5,Total Cash From Financing Activities,,,10029599000.0,3031792000.0
6,Change To Operating Activities,,,16524000.0,160417000.0
7,Change In Cash,,,5935094000.0,1842469000.0
8,Repurchase Of Stock,,,-1000.0,-5000.0
9,Total Cash From Operating Activities,,,45363000.0,300582000.0
10,Depreciation,,,29802000.0,5208000.0
11,Dividends Paid,,,-30017000.0,-30026000.0
12,Other Cashflows From Financing Activities,,,8976598000.0,4106823000.0
13,Change To Netincome,,,-146097000.0,36531000.0
14,Capital Expenditures,,,-5763000.0,-10003000.0
15,Other Cashflows From Investing Activities,,,,47025000.0
