,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,54000000.0,58000000.0,69000000.0,2000000.0
Total Liab,2571000000.0,2748000000.0,1978000000.0,1753000000.0
Total Stockholder Equity,3817000000.0,3591000000.0,3318000000.0,3397000000.0
Minority Interest,11000000.0,10000000.0,11000000.0,11000000.0
Other Current Liab,231000000.0,219000000.0,198000000.0,194000000.0
Total Assets,6399000000.0,6349000000.0,5307000000.0,5161000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,59000000.0,75000000.0,76000000.0,80000000.0
Retained Earnings,4287000000.0,4030000000.0,3727000000.0,3750000000.0
Other Liab,392000000.0,410000000.0,455000000.0,453000000.0
Good Will,167000000.0,164000000.0,167000000.0,22000000.0
Treasury Stock,-471000000.0,-440000000.0,-410000000.0,-354000000.0
Other Assets,154000000.0,101000000.0,80000000.0,81000000.0
Cash,76000000.0,125000000.0,194000000.0,116000000.0
Total Current Liabilities,1076000000.0,1189000000.0,784000000.0,818000000.0
Short Long Term Debt,55000000.0,62000000.0,39000000.0,53000000.0
Other Stockholder Equity,-471000000.0,-440000000.0,-410000000.0,-354000000.0
Property Plant Equipment,1972000000.0,1877000000.0,1160000000.0,1077000000.0
Total Current Assets,3354000000.0,3414000000.0,3027000000.0,3128000000.0
Long Term Investments,698000000.0,735000000.0,804000000.0,851000000.0
Net Tangible Assets,3596000000.0,3369000000.0,3082000000.0,3373000000.0
Short Term Investments,1465000000.0,1434000000.0,1336000000.0,1576000000.0
Net Receivables,532000000.0,646000000.0,551000000.0,482000000.0
Long Term Debt,707000000.0,730000000.0,739000000.0,482000000.0
Inventory,1178000000.0,1086000000.0,815000000.0,780000000.0
Accounts Payable,269000000.0,354000000.0,218000000.0,256000000.0
