,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-79300000.0,-63300000.0,-39000000.0,-61500000.0
Change To Liabilities,227200000.0,36200000.0,113800000.0,166700000.0
Total Cashflows From Investing Activities,-322400000.0,-462600000.0,-251600000.0,-9047400000.0
Net Borrowings,-420300000.0,-672200000.0,-933400000.0,6729300000.0
Total Cash From Financing Activities,-3020100000.0,-1846400000.0,-1746700000.0,6514100000.0
Change To Operating Activities,-235700000.0,-359600000.0,94200000.0,27600000.0
Issuance Of Stock,365100000.0,154600000.0,90700000.0,143600000.0
Net Income,2030400000.0,1541300000.0,1108700000.0,1727900000.0
Change In Cash,64800000.0,6300000.0,-48700000.0,-685600000.0
Repurchase Of Stock,-2446300000.0,-778800000.0,-613300000.0,-613300000.0
Effect Of Exchange Rate,-1300000.0,-6000000.0,5900000.0,-36300000.0
Total Cash From Operating Activities,3408600000.0,2321300000.0,1943700000.0,1884000000.0
Depreciation,581400000.0,574900000.0,596300000.0,491800000.0
Dividends Paid,-488000000.0,-420800000.0,-322900000.0,-319000000.0
Change To Inventory,84400000.0,-75500000.0,-119500000.0,-90000000.0
Change To Account Receivables,10300000.0,-73200000.0,18400000.0,-49900000.0
Other Cashflows From Financing Activities,-30600000.0,-129200000.0,32200000.0,-39800000.0
Change To Netincome,563600000.0,710700000.0,96900000.0,-362000000.0
Capital Expenditures,-303800000.0,-328900000.0,-251000000.0,-222800000.0
