,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,61435000.0,49417000.0,,
Capital Surplus,1585244000.0,1470071000.0,1378438000.0,1314377000.0
Total Liab,107077516000.0,64383823000.0,51663136000.0,46895052000.0
Total Stockholder Equity,7879562000.0,6130169000.0,5116209000.0,4179795000.0
Minority Interest,213791000.0,150773000.0,148634000.0,139620000.0
Other Current Liab,2164805000.0,888360000.0,170355000.0,202807000.0
Total Assets,115511007000.0,71004903000.0,56927979000.0,51214467000.0
Common Stock,52000.0,52000.0,53000.0,53000.0
Other Current Assets,2434719000.0,1343021000.0,806061000.0,747746000.0
Retained Earnings,5671749000.0,4575601000.0,3791838000.0,2866837000.0
Other Liab,1024315000.0,661015000.0,513549000.0,432836000.0
Good Will,142685000.0,137823000.0,,
Treasury Stock,622517000.0,84445000.0,-54120000.0,-1472000.0
Other Assets,45043780000.0,33179981000.0,28327247000.0,23070029000.0
Cash,17365455000.0,6176659000.0,2992062000.0,2277964000.0
Total Current Liabilities,105001566000.0,63155974000.0,50453122000.0,45766724000.0
Deferred Long Term Asset Charges,776000.0,28433000.0,65433000.0,63845000.0
Other Stockholder Equity,622517000.0,84445000.0,-54120000.0,-1472000.0
Property Plant Equipment,385750000.0,359241000.0,129213000.0,128682000.0
Total Current Assets,20553281000.0,8189497000.0,4235680000.0,3561684000.0
Long Term Investments,49324076000.0,29088944000.0,24235839000.0,24454072000.0
Net Tangible Assets,7675442000.0,5942929000.0,5116209000.0,4179795000.0
Short Term Investments,226847000.0,289340000.0,123611000.0,247876000.0
Net Receivables,36812000.0,47663000.0,55807000.0,55946000.0
Long Term Debt,843628000.0,347987000.0,696465000.0,695492000.0
Inventory,1179000.0,,,
Accounts Payable,101981807000.0,61757807000.0,49328900000.0,44254075000.0
