,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,91650000.0,-59825000.0,95117000.0,-5788000.0
Total Cashflows From Investing Activities,-48023000.0,-68362000.0,-58145000.0,-58484000.0
Net Borrowings,73138000.0,54656000.0,-173473000.0,-111480000.0
Total Cash From Financing Activities,57094000.0,25693000.0,-215640000.0,-124791000.0
Change To Operating Activities,-584000.0,-41045000.0,-39686000.0,-10897000.0
Net Income,94476000.0,73281000.0,60099000.0,112851000.0
Change In Cash,-25310000.0,-219350000.0,215722000.0,2677000.0
Repurchase Of Stock,-263000.0,-8275000.0,-28956000.0,-28956000.0
Effect Of Exchange Rate,2784000.0,-4533000.0,5466000.0,3682000.0
Total Cash From Operating Activities,-37165000.0,-172148000.0,484041000.0,182270000.0
Depreciation,60114000.0,59572000.0,58944000.0,58057000.0
Other Cashflows From Investing Activities,4512000.0,402000.0,869000.0,16000.0
Dividends Paid,-15509000.0,-16055000.0,-13211000.0,-13311000.0
Change To Inventory,-115683000.0,-118132000.0,8928000.0,150576000.0
Change To Account Receivables,-174219000.0,-103549000.0,261593000.0,-131059000.0
Other Cashflows From Financing Activities,-272000.0,-4633000.0,-4633000.0,-4633000.0
Change To Netincome,5681000.0,16250000.0,37803000.0,7330000.0
Capital Expenditures,-54840000.0,-68764000.0,-59014000.0,-58727000.0
