,2021-07-03,2021-04-03,2021-01-02,2020-09-30
Intangible Assets,677800000.0,674900000.0,685400000.0,679200000.0
Total Liab,3498700000.0,3993200000.0,3321700000.0,2677600000.0
Total Stockholder Equity,1122400000.0,940900000.0,672600000.0,697200000.0
Other Current Liab,446400000.0,516600000.0,305300000.0,145500000.0
Total Assets,4621100000.0,4934100000.0,4000700000.0,3380500000.0
Common Stock,471400000.0,473000000.0,490500000.0,300000.0
Other Current Assets,7000000.0,3800000.0,2500000.0,1400000.0
Retained Earnings,1691000000.0,1500200000.0,1224400000.0,1235600000.0
Other Liab,168800000.0,163600000.0,156600000.0,149100000.0
Good Will,547100000.0,546100000.0,548900000.0,544100000.0
Treasury Stock,-1040000000.0,-1032300000.0,-1042300000.0,-1020900000.0
Other Assets,147600000.0,159800000.0,153500000.0,224600000.0
Cash,58300000.0,14400000.0,21500000.0,16600000.0
Total Current Liabilities,1036800000.0,1347500000.0,1054500000.0,950400000.0
Short Long Term Debt,54400000.0,55600000.0,56200000.0,51600000.0
Other Stockholder Equity,-73900000.0,-78000000.0,-83500000.0,-99100000.0
Property Plant Equipment,795300000.0,773300000.0,730500000.0,716000000.0
Total Current Assets,2226000000.0,2573700000.0,1679500000.0,1216600000.0
Long Term Investments,227300000.0,206300000.0,202900000.0,
Net Tangible Assets,-102500000.0,-280100000.0,-561700000.0,-526100000.0
Net Receivables,1058000000.0,1408100000.0,497700000.0,497100000.0
Long Term Debt,2106700000.0,2299000000.0,1958100000.0,1433900000.0
Inventory,962800000.0,1019200000.0,1068300000.0,621900000.0
Accounts Payable,467900000.0,549900000.0,498900000.0,391000000.0
Minority Interest,,,6400000.0,5700000.0
Capital Surplus,,,,482200000.0
Deferred Long Term Liab,,,,5600000.0
