,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-144088000.0,521994000.0,-305790000.0,-293295000.0
Change To Liabilities,791427000.0,122979000.0,90162000.0,12925000.0
Total Cashflows From Investing Activities,-121721000.0,286725000.0,-370488000.0,-178815000.0
Net Borrowings,291150000.0,245625000.0,-33481000.0,584954000.0
Total Cash From Financing Activities,682323000.0,642554000.0,530150000.0,888082000.0
Change To Operating Activities,-166328000.0,-102091000.0,-136638000.0,-15354000.0
Issuance Of Stock,396010000.0,401955000.0,563631000.0,369183000.0
Net Income,-554128000.0,-715075000.0,-361918000.0,-50688000.0
Change In Cash,668068000.0,472816000.0,-228998000.0,477271000.0
Repurchase Of Stock,-4798000.0,-4337000.0,-4337000.0,-4337000.0
Total Cash From Operating Activities,107466000.0,-456463000.0,-388660000.0,-231996000.0
Depreciation,26911000.0,24049000.0,11710000.0,8045000.0
Other Cashflows From Investing Activities,-3500000.0,-3082000.0,-3541000.0,10695000.0
Change To Inventory,-60582000.0,-45934000.0,-41840000.0,-70792000.0
Change To Account Receivables,-10461000.0,-41835000.0,-19576000.0,-24240000.0
Other Cashflows From Financing Activities,-39000.0,-689000.0,-689000.0,-66055000.0
Change To Netincome,80627000.0,300993000.0,68905000.0,-91939000.0
Capital Expenditures,-82202000.0,-59631000.0,-61157000.0,-12000000.0
